Spieltag;Datum;Heim;Gast;Ergebnis;Toto;1;0;2
34;5/12/18;TSG Hoffenheim;BVB 09 Dortmund;3:1;1;2,34;4,2;2,94
34;5/12/18;Hertha BSC Berlin;RB Leipzig;2:6;2;4,5;4,1;1,84
34;5/12/18;VfL Wolfsburg;1.FC Köln;4:1;1;1,66;4,2;6
34;5/12/18;1.FSV Mainz 05;SV Werder Bremen;1:2;2;2,66;3,8;2,74
34;5/12/18;Hamburger SV;Mönchengladbach;2:1;1;2,3;4;3,1
34;5/12/18;FC Schalke 04;Eintracht Frankfurt;1:0;1;2,34;3,55;3,35
34;5/12/18;SC Freiburg;FC Augsburg;2:0;1;2,12;3,3;4,3
34;5/12/18;Bayer Leverkusen;Hannover 96;3:2;1;1,2;7,6;24
34;5/12/18;Bayern München;VfB Stuttgart;1:4;2;1,14;8,6;40
33;5/5/18;1.FC Köln;Bayern München;1:3;2;14,5;6,2;1,29
33;5/5/18;VfB Stuttgart;TSG Hoffenheim;2:0;1;3,1;3,8;2,38
33;5/5/18;Hannover 96;Hertha BSC Berlin;3:1;1;2,76;3,45;2,84
33;5/5/18;Mönchengladbach;SC Freiburg;3:1;1;2,02;3,65;4,2
33;5/5/18;FC Augsburg;FC Schalke 04;1:2;2;3,25;3,4;2,48
33;5/5/18;SV Werder Bremen;Bayer Leverkusen;0:0;0;4,1;4,2;1,91
33;5/5/18;Eintracht Frankfurt;Hamburger SV;3:0;1;2;3,9;4
33;5/5/18;BVB 09 Dortmund;1.FSV Mainz 05;1:2;2;1,33;5,6;13
33;5/5/18;RB Leipzig;VfL Wolfsburg;4:1;1;1,76;4,1;5,1
32;4/29/18;SV Werder Bremen;BVB 09 Dortmund;1:1;0;4,2;4,1;1,91
32;4/29/18;1.FSV Mainz 05;RB Leipzig;3:0;1;3,75;3,75;2,12
32;4/28/18;SC Freiburg;1.FC Köln;3:2;1;2,16;3,65;3,7
32;4/28/18;FC Schalke 04;Mönchengladbach;1:1;0;1,95;3,8;4,3
32;4/28/18;Bayern München;Eintracht Frankfurt;4:1;1;2,02;3,75;4,1
32;4/28/18;Hertha BSC Berlin;FC Augsburg;2:2;0;2,12;3,6;3,9
32;4/28/18;VfL Wolfsburg;Hamburger SV;1:3;2;2,36;3,45;3,4
32;4/28/18;Bayer Leverkusen;VfB Stuttgart;0:1;2;1,46;4,9;8,6
32;4/27/18;TSG Hoffenheim;Hannover 96;3:1;1;1,27;6,4;16
31;4/22/18;1.FC Köln;FC Schalke 04;2:2;0;3,75;3,65;2,14
31;4/22/18;FC Augsburg;1.FSV Mainz 05;2:0;1;2,44;3,4;3,3
31;4/21/18;Hannover 96;Bayern München;0:3;2;8;5;1,47
31;4/21/18;RB Leipzig;TSG Hoffenheim;2:5;2;2,34;3,95;3,05
31;4/21/18;Eintracht Frankfurt;Hertha BSC Berlin;0:3;2;1,98;3,55;4,5
31;4/21/18;Hamburger SV;SC Freiburg;1:0;1;2,12;3,5;4
31;4/21/18;VfB Stuttgart;SV Werder Bremen;2:0;1;2,56;3,45;3,05
31;4/21/18;BVB 09 Dortmund;Bayer Leverkusen;4:0;1;2,2;3,8;3,45
31;4/20/18;Mönchengladbach;VfL Wolfsburg;3:0;1;1,78;3,95;5,2
30;4/16/18;1.FSV Mainz 05;SC Freiburg;2:0;1;2,24;3,3;3,9
30;4/15/18;FC Schalke 04;BVB 09 Dortmund;2:0;1;3,15;3,5;2,48
30;4/15/18;SV Werder Bremen;RB Leipzig;1:1;0;2,72;3,7;2,72
30;4/14/18;Hertha BSC Berlin;1.FC Köln;2:1;1;1,85;3,95;4,7
30;4/14/18;Bayern München;Mönchengladbach;5:1;1;1,36;5,6;10,5
30;4/14/18;Bayer Leverkusen;Eintracht Frankfurt;4:1;1;1,74;4;5,5
30;4/14/18;TSG Hoffenheim;Hamburger SV;2:0;1;1,51;4,8;7,4
30;4/14/18;VfB Stuttgart;Hannover 96;1:1;0;1,85;3,85;4,8
30;4/13/18;VfL Wolfsburg;FC Augsburg;0:0;0;2,28;3,35;3,7
29;4/9/18;RB Leipzig;Bayer Leverkusen;1:4;2;2,28;3,8;3,25
29;4/8/18;Eintracht Frankfurt;TSG Hoffenheim;1:1;0;2,42;3,65;3,1
29;4/8/18;BVB 09 Dortmund;VfB Stuttgart;3:0;1;1,55;4,6;7
29;4/7/18;FC Augsburg;Bayern München;1:4;2;8,8;4,7;1,47
29;4/7/18;Mönchengladbach;Hertha BSC Berlin;2:1;1;1,83;3,85;5
29;4/7/18;Hamburger SV;FC Schalke 04;3:2;1;4,7;3,55;1,95
29;4/7/18;1.FC Köln;1.FSV Mainz 05;1:1;0;2,14;3,7;3,7
29;4/7/18;SC Freiburg;VfL Wolfsburg;0:2;2;2,44;3,2;3,5
29;4/6/18;Hannover 96;SV Werder Bremen;2:1;1;3,15;3,75;2,36
28;4/1/18;1.FSV Mainz 05;Mönchengladbach;0:0;0;3,1;3,6;2,46
28;4/1/18;SV Werder Bremen;Eintracht Frankfurt;2:1;1;2,44;3,5;3,2
28;3/31/18;Bayern München;BVB 09 Dortmund;6:0;1;1,36;5,6;10,5
28;3/31/18;Hannover 96;RB Leipzig;2:3;2;4,9;3,95;1,82
28;3/31/18;TSG Hoffenheim;1.FC Köln;6:0;1;1,59;4,6;6,2
28;3/31/18;FC Schalke 04;SC Freiburg;2:0;1;1,58;3,95;8,4
28;3/31/18;Bayer Leverkusen;FC Augsburg;0:0;0;1,48;4,7;8,4
28;3/31/18;VfB Stuttgart;Hamburger SV;1:1;0;1,69;3,9;6,2
28;3/31/18;Hertha BSC Berlin;VfL Wolfsburg;0:0;0;2,34;3,3;3,6
27;3/18/18;BVB 09 Dortmund;Hannover 96;1:0;1;1,46;4,9;8,6
27;3/18/18;1.FC Köln;Bayer Leverkusen;2:0;1;5,2;4,2;1,73
27;3/18/18;RB Leipzig;Bayern München;2:1;1;6,2;4,4;1,62
27;3/17/18;Mönchengladbach;TSG Hoffenheim;3:3;0;3,25;3,8;2,3
27;3/17/18;Hamburger SV;Hertha BSC Berlin;1:2;2;2,96;3,15;2,84
27;3/17/18;FC Augsburg;SV Werder Bremen;1:3;2;2,48;3,5;3,15
27;3/17/18;Eintracht Frankfurt;1.FSV Mainz 05;3:0;1;1,78;3,75;5,6
27;3/17/18;VfL Wolfsburg;FC Schalke 04;0:1;2;4,1;3,45;2,12
27;3/16/18;SC Freiburg;VfB Stuttgart;1:2;2;2,64;3,2;3,15
26;3/12/18;SV Werder Bremen;1.FC Köln;3:1;1;1,86;3,9;4,7
26;3/11/18;VfB Stuttgart;RB Leipzig;0:0;0;3,2;3,45;2,46
26;3/11/18;BVB 09 Dortmund;Eintracht Frankfurt;3:2;1;1,91;3,7;4,7
26;3/10/18;Hertha BSC Berlin;SC Freiburg;0:0;0;2,32;3,2;3,8
26;3/10/18;Hannover 96;FC Augsburg;1:3;2;2,36;3,45;3,4
26;3/10/18;Bayern München;Hamburger SV;6:0;1;1,12;8,8;40
26;3/10/18;TSG Hoffenheim;VfL Wolfsburg;3:0;1;1,75;3,95;5,5
26;3/10/18;Bayer Leverkusen;Mönchengladbach;2:0;1;1,69;4,2;5,7
26;3/9/18;1.FSV Mainz 05;FC Schalke 04;0:1;2;3,55;3,4;2,32
25;3/4/18;1.FC Köln;VfB Stuttgart;2:3;2;2,62;3,45;3
25;3/4/18;SC Freiburg;Bayern München;0:4;2;10;4,8;1,43
25;3/3/18;FC Schalke 04;Hertha BSC Berlin;1:0;1;1,67;3,9;6,6
25;3/3/18;Eintracht Frankfurt;Hannover 96;1:0;1;1,78;3,9;5,3
25;3/3/18;FC Augsburg;TSG Hoffenheim;0:2;2;3;3,45;2,6
25;3/3/18;Hamburger SV;1.FSV Mainz 05;0:0;0;2,26;3,4;3,7
25;3/3/18;VfL Wolfsburg;Bayer Leverkusen;1:2;2;3,65;3,65;2,18
25;3/3/18;RB Leipzig;BVB 09 Dortmund;1:1;0;2,3;3,75;3,25
25;3/2/18;Mönchengladbach;SV Werder Bremen;2:2;0;2,04;3,65;4,1
24;2/26/18;BVB 09 Dortmund;FC Augsburg;1:1;0;1,41;5,1;10
24;2/25/18;Bayer Leverkusen;FC Schalke 04;0:2;2;2,1;3,65;3,9
24;2/25/18;RB Leipzig;1.FC Köln;1:2;2;1,51;4,6;7,8
24;2/24/18;Bayern München;Hertha BSC Berlin;0:0;0;1,15;7,8;40
24;2/24/18;TSG Hoffenheim;SC Freiburg;1:1;0;1,77;4;5,2
24;2/24/18;Hannover 96;Mönchengladbach;0:1;2;2,88;3,5;2,68
24;2/24/18;VfB Stuttgart;Eintracht Frankfurt;1:0;1;2,48;3,35;3,25
24;2/24/18;SV Werder Bremen;Hamburger SV;1:0;1;2,12;3,35;4,2
24;2/23/18;1.FSV Mainz 05;VfL Wolfsburg;1:1;0;2,32;3,4;3,55
23;2/19/18;Eintracht Frankfurt;RB Leipzig;2:1;1;2,76;3,4;2,86
23;2/18/18;FC Augsburg;VfB Stuttgart;0:1;2;2,12;3,5;4
23;2/18/18;Mönchengladbach;BVB 09 Dortmund;0:1;2;3,55;3,75;2,18
23;2/17/18;VfL Wolfsburg;Bayern München;1:2;2;9,6;4,8;1,44
23;2/17/18;SC Freiburg;SV Werder Bremen;1:0;1;2,76;3,45;2,82
23;2/17/18;Hamburger SV;Bayer Leverkusen;1:2;2;4,4;3,6;2
23;2/17/18;1.FC Köln;Hannover 96;1:1;0;2,18;3,65;3,65
23;2/17/18;FC Schalke 04;TSG Hoffenheim;2:1;1;2,16;3,65;3,7
23;2/16/18;Hertha BSC Berlin;1.FSV Mainz 05;0:2;2;2,06;3,5;4,2
22;2/11/18;VfB Stuttgart;Mönchengladbach;1:0;1;2,54;3,55;3,05
22;2/11/18;SV Werder Bremen;VfL Wolfsburg;3:1;1;1,98;3,65;4,4
22;2/10/18;Eintracht Frankfurt;1.FC Köln;4:2;1;2;3,6;4,4
22;2/10/18;Bayer Leverkusen;Hertha BSC Berlin;0:2;2;1,54;4,5;7,4
22;2/10/18;Hannover 96;SC Freiburg;2:1;1;2,12;3,55;3,95
22;2/10/18;BVB 09 Dortmund;Hamburger SV;2:0;1;1,37;5,2;12
22;2/10/18;TSG Hoffenheim;1.FSV Mainz 05;4:2;1;1,67;4,2;5,9
22;2/10/18;Bayern München;FC Schalke 04;2:1;1;1,23;6,8;22
22;2/9/18;RB Leipzig;FC Augsburg;2:0;1;1,8;3,8;5,3
21;2/4/18;FC Augsburg;Eintracht Frankfurt;3:0;1;2,58;3,3;3,15
21;2/4/18;Hamburger SV;Hannover 96;1:1;0;2,24;3,45;3,7
21;2/3/18;1.FSV Mainz 05;Bayern München;0:2;2;12,5;5,4;1,35
21;2/3/18;Hertha BSC Berlin;TSG Hoffenheim;1:1;0;3,15;3,55;2,46
21;2/3/18;FC Schalke 04;SV Werder Bremen;1:2;2;1,86;3,75;4,9
21;2/3/18;SC Freiburg;Bayer Leverkusen;0:0;0;4,4;3,85;1,93
21;2/3/18;VfL Wolfsburg;VfB Stuttgart;1:1;0;2,16;3,6;3,75
21;2/3/18;Mönchengladbach;RB Leipzig;0:1;2;2,68;3,65;2,8
21;2/2/18;1.FC Köln;BVB 09 Dortmund;2:3;2;5,3;3,95;1,77
20;1/28/18;Bayer Leverkusen;1.FSV Mainz 05;2:0;1;1,47;4,8;8,4
20;1/28/18;Hannover 96;VfL Wolfsburg;0:1;2;2,38;3,55;3,25
20;1/27/18;Bayern München;TSG Hoffenheim;5:2;1;1,24;6,6;21
20;1/27/18;BVB 09 Dortmund;SC Freiburg;2:2;0;1,35;5,5;12
20;1/27/18;VfB Stuttgart;FC Schalke 04;0:2;2;2,96;3,45;2,64
20;1/27/18;1.FC Köln;FC Augsburg;1:1;0;3,1;3,45;2,52
20;1/27/18;RB Leipzig;Hamburger SV;1:1;0;1,58;4,1;7,8
20;1/27/18;SV Werder Bremen;Hertha BSC Berlin;0:0;0;2;3,7;4,2
20;1/26/18;Eintracht Frankfurt;Mönchengladbach;2:0;1;2,58;3,5;3
19;1/21/18;Bayern München;SV Werder Bremen;4:2;1;1,12;9;40
19;1/21/18;FC Schalke 04;Hannover 96;1:1;0;1,56;4,5;7
19;1/20/18;SC Freiburg;RB Leipzig;2:1;1;3,7;3,7;2,14
19;1/20/18;Hamburger SV;1.FC Köln;0:2;2;2,06;3,5;4,2
19;1/20/18;VfL Wolfsburg;Eintracht Frankfurt;1:3;2;2,6;3,3;3,1
19;1/20/18;TSG Hoffenheim;Bayer Leverkusen;1:4;2;2,98;3,75;2,48
19;1/20/18;Mönchengladbach;FC Augsburg;2:0;1;2,26;3,6;3,5
19;1/20/18;1.FSV Mainz 05;VfB Stuttgart;3:2;1;2,82;3,35;2,84
19;1/19/18;Hertha BSC Berlin;BVB 09 Dortmund;1:1;0;3,7;3,55;2,2
18;1/14/18;Hannover 96;1.FSV Mainz 05;3:2;1;2,4;3,5;3,3
18;1/14/18;1.FC Köln;Mönchengladbach;2:1;1;3,4;3,6;2,3
18;1/14/18;BVB 09 Dortmund;VfL Wolfsburg;0:0;0;1,55;4,6;7
18;1/13/18;SV Werder Bremen;TSG Hoffenheim;1:1;0;2,66;3,55;2,88
18;1/13/18;VfB Stuttgart;Hertha BSC Berlin;1:0;1;2,08;3,5;4,1
18;1/13/18;Eintracht Frankfurt;SC Freiburg;1:1;0;2,02;3,55;4,3
18;1/13/18;RB Leipzig;FC Schalke 04;3:1;1;2,34;3,5;3,4
18;1/13/18;FC Augsburg;Hamburger SV;1:0;1;1,86;3,65;5,1
18;1/12/18;Bayer Leverkusen;Bayern München;1:3;2;4,2;3,9;1,95
17;12/17/17;RB Leipzig;Hertha BSC Berlin;2:3;2;1,62;4,1;6,8
17;12/17/17;Hannover 96;Bayer Leverkusen;4:4;0;4,9;4,1;1,79
17;12/16/17;BVB 09 Dortmund;TSG Hoffenheim;2:1;1;1,66;4,4;5,7
17;12/16/17;1.FC Köln;VfL Wolfsburg;1:0;1;3,75;3,55;2,18
17;12/16/17;SV Werder Bremen;1.FSV Mainz 05;2:2;0;2,04;3,65;4,1
17;12/16/17;Eintracht Frankfurt;FC Schalke 04;2:2;0;2,96;3,35;2,7
17;12/16/17;FC Augsburg;SC Freiburg;3:3;0;1,82;3,85;5,1
17;12/16/17;VfB Stuttgart;Bayern München;0:1;2;11,5;5;1,39
17;12/15/17;Mönchengladbach;Hamburger SV;3:1;1;1,98;3,7;4,3
16;12/13/17;Bayern München;1.FC Köln;1:0;1;1,04;13;40
16;12/13/17;TSG Hoffenheim;VfB Stuttgart;1:0;1;2,06;3,7;4
16;12/13/17;Hertha BSC Berlin;Hannover 96;3:1;1;2;3,6;4,4
16;12/13/17;FC Schalke 04;FC Augsburg;3:2;1;2,08;3,5;4,1
16;12/13/17;Bayer Leverkusen;SV Werder Bremen;1:0;1;1,61;4,3;6,6
16;12/12/17;SC Freiburg;Mönchengladbach;1:0;1;2,98;3,55;2,58
16;12/12/17;Hamburger SV;Eintracht Frankfurt;1:2;2;2,42;3,35;3,4
16;12/12/17;1.FSV Mainz 05;BVB 09 Dortmund;0:2;2;5,9;4,4;1,64
16;12/12/17;VfL Wolfsburg;RB Leipzig;1:1;0;2,98;3,6;2,56
15;12/10/17;1.FC Köln;SC Freiburg;3:4;2;2,44;3,45;3,25
15;12/10/17;FC Augsburg;Hertha BSC Berlin;1:1;0;2,18;3,4;3,95
15;12/10/17;Hannover 96;TSG Hoffenheim;2:0;1;3,65;3,75;2,14
15;12/9/17;BVB 09 Dortmund;SV Werder Bremen;1:2;2;1,4;5,4;9,4
15;12/9/17;RB Leipzig;1.FSV Mainz 05;2:2;0;1,55;4,4;7,4
15;12/9/17;Mönchengladbach;FC Schalke 04;1:1;0;2,46;3,55;3,15
15;12/9/17;Eintracht Frankfurt;Bayern München;0:1;2;8,4;4,8;1,47
15;12/9/17;Hamburger SV;VfL Wolfsburg;0:0;0;2,74;3,4;2,88
15;12/8/17;VfB Stuttgart;Bayer Leverkusen;0:2;2;3,2;3,6;2,4
14;12/3/17;Hertha BSC Berlin;Eintracht Frankfurt;1:2;2;2,64;3,25;3,1
14;12/3/17;VfL Wolfsburg;Mönchengladbach;3:0;1;2,64;3,65;2,82
14;12/2/17;Bayern München;Hannover 96;3:1;1;1,08;10;40
14;12/2/17;TSG Hoffenheim;RB Leipzig;4:0;1;3,55;3,85;2,14
14;12/2/17;SV Werder Bremen;VfB Stuttgart;1:0;1;2,24;3,7;3,45
14;12/2/17;FC Schalke 04;1.FC Köln;2:2;0;1,42;4,8;10,5
14;12/2/17;Bayer Leverkusen;BVB 09 Dortmund;1:1;0;2,36;4;3
14;12/2/17;1.FSV Mainz 05;FC Augsburg;1:3;2;3,15;3,35;2,54
14;12/1/17;SC Freiburg;Hamburger SV;0:0;0;2,84;3,25;2,88
13;11/26/17;1.FC Köln;Hertha BSC Berlin;0:2;2;3,2;3,4;2,52
13;11/26/17;Hamburger SV;TSG Hoffenheim;3:0;1;2,64;3,55;2,88
13;11/25/17;BVB 09 Dortmund;FC Schalke 04;4:4;0;1,67;4,4;5,5
13;11/25/17;RB Leipzig;SV Werder Bremen;2:0;1;1,49;4,8;7,8
13;11/25/17;SC Freiburg;1.FSV Mainz 05;2:1;1;2,26;3,5;3,6
13;11/25/17;Mönchengladbach;Bayern München;2:1;1;5,7;4,5;1,64
13;11/25/17;Eintracht Frankfurt;Bayer Leverkusen;0:1;2;2,62;3,65;2,88
13;11/25/17;FC Augsburg;VfL Wolfsburg;2:1;1;2,18;3,55;3,75
13;11/24/17;Hannover 96;VfB Stuttgart;1:1;0;2,48;3,45;3,2
12;11/19/17;SV Werder Bremen;Hannover 96;4:0;1;2,28;3,65;3,4
12;11/19/17;FC Schalke 04;Hamburger SV;2:0;1;1,75;3,8;5,8
12;11/18/17;Bayern München;FC Augsburg;3:0;1;1,16;8;40
12;11/18/17;TSG Hoffenheim;Eintracht Frankfurt;1:1;0;2,36;3,7;3,2
12;11/18/17;Hertha BSC Berlin;Mönchengladbach;2:4;2;3,15;3,55;2,46
12;11/18/17;Bayer Leverkusen;RB Leipzig;2:2;0;2,46;3,8;2,98
12;11/18/17;1.FSV Mainz 05;1.FC Köln;1:0;1;1,96;3,7;4,4
12;11/18/17;VfL Wolfsburg;SC Freiburg;3:1;1;1,67;4,1;6
12;11/17/17;VfB Stuttgart;BVB 09 Dortmund;2:1;1;4,6;4,1;1,83
11;11/5/17;1.FC Köln;TSG Hoffenheim;0:3;2;2,72;3,65;2,74
11;11/5/17;VfL Wolfsburg;Hertha BSC Berlin;3:3;0;2,04;3,45;4,4
11;11/4/17;BVB 09 Dortmund;Bayern München;1:3;2;3,8;4,1;2
11;11/4/17;RB Leipzig;Hannover 96;2:1;1;1,5;4,8;7,6
11;11/4/17;SC Freiburg;FC Schalke 04;0:1;2;4,1;3,55;2,08
11;11/4/17;Mönchengladbach;1.FSV Mainz 05;1:1;0;1,62;4,3;6,4
11;11/4/17;FC Augsburg;Bayer Leverkusen;1:1;0;3,45;3,8;2,2
11;11/4/17;Hamburger SV;VfB Stuttgart;3:1;1;2,86;3,35;2,78
11;11/3/17;Eintracht Frankfurt;SV Werder Bremen;2:1;1;1,82;3,9;5
10;10/29/17;SV Werder Bremen;FC Augsburg;0:3;2;2,16;3,6;3,75
10;10/29/17;VfB Stuttgart;SC Freiburg;3:0;1;1,9;3,85;4,5
10;10/28/17;Bayern München;RB Leipzig;2:0;1;1,38;5,4;10,5
10;10/28/17;TSG Hoffenheim;Mönchengladbach;1:3;2;2,3;3,85;3,2
10;10/28/17;Hertha BSC Berlin;Hamburger SV;2:1;1;2,16;3,35;4,1
10;10/28/17;FC Schalke 04;VfL Wolfsburg;1:1;0;1,87;3,7;5
10;10/28/17;Bayer Leverkusen;1.FC Köln;2:1;1;1,42;5,2;9,2
10;10/28/17;Hannover 96;BVB 09 Dortmund;4:2;1;8,2;4,9;1,47
10;10/27/17;1.FSV Mainz 05;Eintracht Frankfurt;1:1;0;3;3,45;2,6
9;10/22/17;1.FC Köln;SV Werder Bremen;0:0;0;2,58;3,5;3
9;10/22/17;SC Freiburg;Hertha BSC Berlin;1:1;0;3,05;3,25;2,7
9;10/22/17;VfL Wolfsburg;TSG Hoffenheim;1:1;0;2,66;3,65;2,82
9;10/21/17;RB Leipzig;VfB Stuttgart;1:0;1;1,46;4,9;8,6
9;10/21/17;Mönchengladbach;Bayer Leverkusen;1:5;2;2,9;3,8;2,52
9;10/21/17;Eintracht Frankfurt;BVB 09 Dortmund;2:2;0;4,2;3,8;1,98
9;10/21/17;FC Augsburg;Hannover 96;1:2;2;2;3,7;4,2
9;10/21/17;Hamburger SV;Bayern München;0:1;2;30;7,2;1,2
