team_home,team_away,ordresp,xGhome,xGaway,goalDiffxG,ordextxG,ordextxG3
3,16,5.0,2.1,2.2,-0.10000000000000009,3.0,2
11,4,1.0,1.6,1.6,0.0,3.0,2
10,14,5.0,1.7,1.1,0.5999999999999999,2.0,1
7,1,1.0,1.3,0.2,1.1,2.0,1
15,6,2.0,1.3,0.5,0.8,2.0,1
2,9,2.0,4.0,1.7,2.3,1.0,1
8,5,2.0,2.0,1.3,0.7,2.0,1
13,17,4.0,0.6,1.0,-0.4,3.0,2
18,12,1.0,1.9,1.2,0.7,2.0,1
4,13,4.0,0.7,0.9,-0.20000000000000007,3.0,2
14,18,1.0,2.1,0.7,1.4000000000000001,2.0,1
12,3,5.0,1.8,2.5,-0.7,4.0,3
17,2,3.0,0.2,0.9,-0.7,4.0,3
5,7,1.0,2.5,1.8,0.7,2.0,1
6,8,1.0,1.8,1.0,0.8,2.0,1
1,15,4.0,0.9,2.0,-1.1,4.0,3
9,10,1.0,1.2,1.2,0.0,3.0,2
16,11,1.0,1.6,2.5,-0.8999999999999999,4.0,3
17,4,3.0,1.4,2.2,-0.8000000000000003,4.0,3
13,14,1.0,2.5,1.0,1.5,1.0,1
2,16,4.0,2.6,0.5,2.1,1.0,1
3,6,1.0,1.8,2.1,-0.30000000000000004,3.0,2
10,1,3.0,1.7,0.7,1.0,2.0,1
7,12,2.0,3.5,1.2,2.3,1.0,1
15,5,3.0,1.3,1.5,-0.19999999999999996,3.0,2
18,8,5.0,0.9,2.8,-1.9,5.0,3
11,9,1.0,1.5,1.7,-0.19999999999999996,3.0,2
12,15,3.0,0.8,2.5,-1.7,5.0,3
1,13,1.0,2.2,0.4,1.8000000000000003,1.0,1
4,2,1.0,3.5,0.5,3.0,1.0,1
14,11,5.0,1.7,3.4,-1.7,5.0,3
6,10,5.0,1.2,1.8,-0.6000000000000001,4.0,3
8,7,2.0,1.9,1.2,0.7,2.0,1
9,3,5.0,0.3,1.5,-1.2,4.0,3
16,17,1.0,2.0,0.9,1.1,2.0,1
5,18,1.0,2.2,0.3,1.9000000000000001,1.0,1
13,7,1.0,1.8,0.6,1.2000000000000002,2.0,1
17,14,3.0,1.2,1.5,-0.30000000000000004,3.0,2
15,4,1.0,1.0,1.0,0.0,3.0,2
3,5,1.0,3.3,0.2,3.0999999999999996,1.0,1
11,8,1.0,3.3,0.4,2.9,1.0,1
10,12,2.0,1.5,1.6,-0.10000000000000009,3.0,2
2,6,1.0,2.3,0.9,1.4,2.0,1
16,9,3.0,0.8,1.0,-0.19999999999999996,3.0,2
18,1,3.0,0.9,0.3,0.6000000000000001,2.0,1
14,2,5.0,1.3,1.9,-0.5999999999999999,4.0,3
6,11,3.0,1.7,0.6,1.1,2.0,1
4,16,1.0,1.4,0.4,0.9999999999999999,2.0,1
8,15,2.0,2.5,1.1,1.4,2.0,1
12,13,3.0,1.3,1.1,0.19999999999999996,3.0,2
7,18,5.0,1.4,0.6,0.7999999999999999,2.0,1
5,10,2.0,1.3,2.4,-1.0999999999999999,4.0,3
1,3,5.0,0.9,1.8,-0.9,4.0,3
9,17,2.0,1.5,1.9,-0.3999999999999999,3.0,2
