,Goal,X,Y,C,matchId,teamId,eventSec,Distance,Angle
0,0,17,42,8.0,2500686.0,3772.0,859.236394,17.77751388693031,0.39010325676088364
1,0,5,45,5.0,2500687.0,3770.0,1234.432647,5.963430220938282,1.0262305693322138
2,0,6,44,6.0,2500687.0,3776.0,1644.963852,7.156116265125938,0.8599601730708396
3,0,9,46,4.0,2500688.0,3766.0,567.951667,9.368030742904295,0.7249745604747284
4,0,3,35,15.0,2500688.0,3779.0,2741.688664,10.201102881551583,0.23762908888852988
5,0,7,51,1.0,2500688.0,3766.0,546.2623509999999,7.030113797087498,0.9579921227670137
6,0,12,64,14.0,2500689.0,3804.0,244.53475200000003,15.060212481900779,0.39046072953355876
7,1,7,51,1.0,2500689.0,3771.0,325.0001259999999,7.030113797087498,0.9579921227670137
8,0,7,54,4.0,2500689.0,3771.0,722.5494159999998,7.467261881037787,0.8799358423622258
9,0,9,56,6.0,2500689.0,3771.0,2098.344631,9.808669634563088,0.6719994763468652
10,1,3,45,5.0,2500690.0,3777.0,822.5978540000001,4.422951503238533,1.297023482986829
11,0,13,41,9.0,2500690.0,3785.0,1056.193614,14.255612929649851,0.4646861209874614
12,0,11,44,6.0,2500690.0,3777.0,2066.779445,11.670903992407787,0.5803182805818168
13,0,9,54,4.0,2500691.0,19830.0,576.442938,9.368030742904295,0.7249745604747284
14,1,6,48,2.0,2500691.0,19830.0,1672.839247,6.139218191268331,1.065537000438445
15,1,5,51,1.0,2500691.0,19830.0,758.898846,5.042072986381693,1.2533083519668153
16,1,7,53,3.0,2500691.0,19830.0,1444.7340000000004,7.2665328733860415,0.9152047386065775
17,0,12,47,3.0,2500692.0,3787.0,543.244536,12.157405150771279,0.5788582849349603
18,0,7,42,8.0,2500692.0,3783.0,659.838337,8.720091742636656,0.6855907582690509
19,0,3,44,6.0,2500692.0,3787.0,2041.293987,4.920365840057018,1.113199683142838
20,1,6,58,8.0,2500692.0,3787.0,787.6648220000002,7.939773296511683,0.7242929401986279
21,0,4,42,8.0,2500693.0,3767.0,1045.100539,6.560487786742691,0.7792140468904943
22,0,5,33,17.0,2500693.0,3789.0,1731.915551,12.12858194514099,0.2671879735618105
23,0,7,42,8.0,2500693.0,3767.0,2209.320861,8.720091742636656,0.6855907582690509
24,0,9,51,1.0,2500694.0,3775.0,1548.865841,9.023441693721969,0.769366755943685
25,0,8,48,2.0,2500694.0,3775.0,1135.0803930000002,8.104936767180853,0.8418590768612652
26,0,8,44,6.0,2500694.0,3775.0,2798.2066029999996,8.9,0.727137057129603
27,0,8,48,2.0,2500695.0,3795.0,1734.913492,8.104936767180853,0.8418590768612652
28,0,11,54,4.0,2500695.0,3774.0,1901.872515,11.303096920755834,0.6134491132665396
29,0,9,54,4.0,2500695.0,3774.0,1936.4573959999998,9.368030742904295,0.7249745604747284
30,0,9,49,1.0,2500695.0,3774.0,2434.507683,9.023441693721969,0.769366755943685
31,0,12,42,8.0,2500695.0,3774.0,935.965518,13.078226179417452,0.5083568463026283
32,0,5,29,21.0,2500696.0,3799.0,964.505762,14.53693571561765,0.18285127444688554
33,0,7,62,12.0,2500696.0,3799.0,1541.79684,10.480458005259122,0.48836558878279673
34,0,9,58,8.0,2500696.0,3799.0,1525.0294720000002,10.394229168149026,0.6080897176866127
35,0,5,47,3.0,2500696.0,3799.0,1847.1360219999997,5.366796064692602,1.1723580435448848
36,0,7,58,8.0,2500697.0,3777.0,1667.947807,8.720091742636656,0.6855907582690509
37,0,14,49,1.0,2500697.0,3777.0,2452.951034,14.015081162804588,0.5104256637793069
38,0,8,46,4.0,2500697.0,3777.0,2559.456373,8.411896337925237,0.7957114159174332
39,0,9,54,4.0,2500698.0,3783.0,539.45843,9.368030742904295,0.7249745604747284
40,0,14,52,2.0,2500698.0,3782.0,806.8581320000001,14.060227594174997,0.5074890988572793
41,0,9,53,3.0,2500698.0,3783.0,422.83304899999985,9.208827286902496,0.7451618621324422
42,0,9,51,1.0,2500698.0,3783.0,526.9131510000002,9.023441693721969,0.769366755943685
43,0,12,50,0.0,2500698.0,3783.0,916.5652989999999,12.0,0.592075228949806
44,0,13,51,1.0,2500698.0,3783.0,1400.2799000000005,13.01623985642551,0.5476633628304963
45,0,10,48,2.0,2500698.0,3783.0,1619.3800010000004,10.084145972763386,0.6922019060806314
46,0,12,50,0.0,2500698.0,3783.0,2095.817588,12.0,0.592075228949806
47,0,13,52,2.0,2500699.0,3804.0,574.946117,13.064838307457157,0.544073378960247
48,0,9,42,8.0,2500699.0,3804.0,621.411489,10.394229168149026,0.6080897176866127
49,0,6,54,4.0,2500699.0,19830.0,1374.681739,6.539113089708726,0.9814645120239824
50,0,9,46,4.0,2500699.0,19830.0,241.46374100000003,9.368030742904295,0.7249745604747284
51,1,6,54,4.0,2500699.0,19830.0,314.0673790000001,6.539113089708726,0.9814645120239824
52,0,7,53,3.0,2500699.0,3804.0,1033.326868,7.2665328733860415,0.9152047386065775
53,0,9,45,5.0,2500699.0,19830.0,1502.2856869999996,9.56882960450232,0.7003062199153791
54,0,5,53,3.0,2500699.0,3804.0,2852.0591569999997,5.366796064692602,1.1723580435448848
55,0,15,43,7.0,2500700.0,3767.0,1539.186355,15.674900318662317,0.4415297074915551
56,0,9,43,7.0,2500700.0,3767.0,2077.628801,10.084765738479005,0.6409583980197452
57,0,7,51,1.0,2500701.0,3770.0,320.374915,7.030113797087498,0.9579921227670137
58,0,13,54,4.0,2500701.0,3771.0,416.56260899999995,13.25745073534124,0.5301280752147015
59,0,5,60,10.0,2500701.0,3770.0,806.310152,8.200609733428363,0.5969100672914993
60,0,9,55,5.0,2500701.0,3771.0,2039.047439,9.56882960450232,0.7003062199153791
61,0,10,55,5.0,2500701.0,3771.0,2200.1049789999997,10.514870422406545,0.6456371719731505
62,0,7,58,8.0,2500701.0,3771.0,2264.395047,8.720091742636656,0.6855907582690509
63,0,7,50,0.0,2500701.0,3770.0,2607.7865229999998,7.0,0.9635313430737257
64,0,8,48,2.0,2500701.0,3770.0,2748.4838229999996,8.104936767180853,0.8418590768612652
65,0,12,45,5.0,2500702.0,3775.0,2772.731166,12.432316759156356,0.5566137074293233
66,0,11,45,5.0,2500702.0,3795.0,1289.1089190000002,11.470069746954461,0.5981395742798127
67,0,7,42,8.0,2500702.0,3775.0,1697.5693549999996,8.720091742636656,0.6855907582690509
68,0,8,44,6.0,2500703.0,3766.0,2304.569008,8.9,0.727137057129603
69,0,7,49,1.0,2500703.0,3774.0,1407.804489,7.030113797087498,0.9579921227670137
70,1,9,48,2.0,2500703.0,3766.0,1726.6674650000004,9.093404203047394,0.7601443126929903
71,0,8,46,4.0,2500703.0,3774.0,3003.4828770000004,8.411896337925237,0.7957114159174332
72,0,12,62,12.0,2500704.0,3779.0,1992.130278,14.312232530251876,0.4301707736903834
73,0,5,36,14.0,2500704.0,3779.0,2208.959089,10.383159442096611,0.36981707343201986
74,0,9,63,13.0,2500704.0,3779.0,557.557746,12.345140744438678,0.4425776520415871
75,0,9,41,9.0,2500704.0,3776.0,2051.1467949999997,10.734174397688907,0.5742494903792517
76,0,5,55,5.0,2500705.0,3780.0,1028.25017,5.963430220938282,1.0262305693322138
77,0,5,51,1.0,2500705.0,3780.0,2251.982542,5.042072986381693,1.2533083519668153
78,0,6,50,0.0,2500705.0,3787.0,2079.5543150000003,6.0,1.0954800274318048
79,1,6,49,1.0,2500706.0,3783.0,292.79923799999995,6.035105632878351,1.087904591859553
80,0,8,44,6.0,2500706.0,3783.0,1702.863892,8.9,0.727137057129603
81,0,12,45,5.0,2500706.0,3776.0,2258.3287680000003,12.432316759156356,0.5566137074293233
82,0,9,43,7.0,2500706.0,3776.0,2803.392102,10.084765738479005,0.6409583980197452
83,0,9,44,6.0,2500707.0,3772.0,744.2398560000001,9.808669634563088,0.6719994763468652
84,0,8,45,5.0,2500708.0,3799.0,284.786749,8.634958019585271,0.7636278833309134
85,0,11,40,10.0,2500708.0,3799.0,2000.364971,12.776932339180638,0.4930572037371545
86,0,6,55,5.0,2500708.0,3771.0,371.84737399999995,6.823672031978091,0.9239970335394253
87,0,7,49,1.0,2500708.0,3799.0,2002.0514750000002,7.030113797087498,0.9579921227670137
88,0,10,44,6.0,2500709.0,3777.0,734.665794,10.733592129385205,0.6233346690483809
89,0,7,45,5.0,2500709.0,3777.0,2130.582329,7.7176745202165655,0.837432675814519
90,0,7,65,15.0,2500709.0,19830.0,788.608142,12.002603884157804,0.3737140741731906
91,0,11,45,5.0,2500709.0,3777.0,909.4346460000002,11.470069746954461,0.5981395742798127
92,0,11,63,13.0,2500709.0,19830.0,930.0380930000001,13.870922824383387,0.4227001217224456
93,0,11,60,10.0,2500709.0,19830.0,1220.7852400000002,12.776932339180638,0.4930572037371545
94,0,11,58,8.0,2500709.0,19830.0,1519.553825,12.167168939404105,0.5389621048954089
95,0,8,62,12.0,2500709.0,19830.0,1528.6454519999998,11.173182178770737,0.4838105333160826
96,0,6,36,14.0,2500709.0,3777.0,1894.6353710000003,10.899999999999999,0.3947695646773369
97,0,12,48,2.0,2500710.0,3787.0,1054.233357,12.070211265756702,0.5861359122223557
98,0,11,53,3.0,2500710.0,3787.0,1741.6630340000002,11.171503927403865,0.6258357186235695
99,0,7,45,5.0,2500710.0,3787.0,2625.929599,7.7176745202165655,0.837432675814519
100,0,5,67,17.0,2500711.0,3785.0,991.2132689999999,12.12858194514099,0.2671879735618105
101,0,16,44,6.0,2500711.0,3785.0,1871.047109,16.468454693747073,0.4264077102385023
102,0,13,48,2.0,2500711.0,3785.0,2277.1370880000004,13.064838307457157,0.544073378960247
103,0,6,30,20.0,2500712.0,3767.0,686.92068,14.317821063276353,0.22532962973735438
104,0,11,44,6.0,2500712.0,3767.0,1521.826782,11.670903992407787,0.5803182805818168
105,0,6,51,1.0,2500712.0,3780.0,1946.6040249999996,6.035105632878351,1.087904591859553
106,0,10,50,0.0,2500713.0,3804.0,1720.989983,10.0,0.701714016520786
107,0,5,65,15.0,2500713.0,3774.0,2031.7226620000001,10.957303500405564,0.3305363458569078
108,1,8,50,0.0,2500713.0,3804.0,306.0709489999999,8.0,0.8581467921149293
109,0,14,52,2.0,2500713.0,3774.0,525.5801590000001,14.060227594174997,0.5074890988572793
110,0,9,39,11.0,2500713.0,3774.0,2864.6764780000003,11.494455185001158,0.5065873960010929
111,0,12,65,15.0,2500714.0,3789.0,821.768885,15.461646096066227,0.371201687764464
112,0,12,52,2.0,2500714.0,3789.0,2533.9724,12.070211265756702,0.5861359122223557
113,0,10,57,7.0,2500714.0,3789.0,1532.301958,10.986468950486321,0.5986491788623917
114,0,10,45,5.0,2500714.0,3789.0,2042.6224679999996,10.514870422406545,0.6456371719731505
115,0,9,46,4.0,2500714.0,3782.0,2258.3679650000004,9.368030742904295,0.7249745604747284
116,0,14,56,6.0,2500714.0,3789.0,2775.971866,14.533065746772083,0.4779920853297955
117,0,3,40,10.0,2500715.0,3770.0,73.10357299999998,7.158910531638177,0.525671713980233
118,0,11,64,14.0,2500715.0,3770.0,2368.293644,14.276203977248294,0.40006274201891934
119,0,9,46,4.0,2500715.0,3795.0,237.5336910000001,9.368030742904295,0.7249745604747284
120,1,4,61,11.0,2500716.0,3789.0,1666.067084,8.192832233116945,0.49897968263877834
121,0,8,54,4.0,2500716.0,3789.0,1021.2955499999998,8.411896337925237,0.7957114159174332
122,0,7,35,15.0,2500717.0,3799.0,596.3221410000001,12.002603884157804,0.3737140741731906
123,1,8,50,0.0,2500717.0,3799.0,887.7551050000002,8.0,0.8581467921149293
124,0,7,46,4.0,2500718.0,3795.0,294.494089,7.467261881037787,0.8799358423622258
125,0,9,62,12.0,2500718.0,3772.0,955.8655719999999,11.909659944767524,0.4739196160379323
126,1,9,52,2.0,2500718.0,3772.0,123.08906900000011,9.093404203047394,0.7601443126929903
127,1,6,54,4.0,2500718.0,3795.0,392.4418519999999,6.539113089708726,0.9814645120239824
128,0,17,58,8.0,2500718.0,3772.0,695.6067600000001,17.77751388693031,0.39010325676088364
