,wyId,label,numbGoals
0,2517036,"Bayern München - Stuttgart, 1 - 4",5
1,2517037,"Hoffenheim - Borussia Dortmund, 3 - 1",4
2,2517038,"Hertha BSC - RB Leipzig, 2 - 6",8
3,2517039,"Freiburg - Augsburg, 2 - 0",2
4,2517040,"Schalke 04 - Eintracht Frankfurt, 1 - 0",1
5,2517041,"Bayer Leverkusen - Hannover 96, 3 - 2",5
6,2517042,"Hamburger SV - Borussia M'gladbach, 2 - 1",3
7,2517043,"Mainz 05 - Werder Bremen, 1 - 2",3
8,2517044,"Wolfsburg - Köln, 4 - 1",5
9,2517027,"Borussia Dortmund - Mainz 05, 1 - 2",3
10,2517028,"RB Leipzig - Wolfsburg, 4 - 1",5
11,2517029,"Köln - Bayern München, 1 - 3",4
12,2517030,"Werder Bremen - Bayer Leverkusen, 0 - 0",0
13,2517031,"Borussia M'gladbach - Freiburg, 3 - 1",4
14,2517032,"Eintracht Frankfurt - Hamburger SV, 3 - 0",3
15,2517033,"Augsburg - Schalke 04, 1 - 2",3
16,2517034,"Hannover 96 - Hertha BSC, 3 - 1",4
17,2517035,"Stuttgart - Hoffenheim, 2 - 0",2
18,2517022,"Werder Bremen - Borussia Dortmund, 1 - 1",2
19,2517025,"Mainz 05 - RB Leipzig, 3 - 0",3
20,2517024,"Bayer Leverkusen - Stuttgart, 0 - 1",1
21,2517018,"Bayern München - Eintracht Frankfurt, 4 - 1",5
22,2517020,"Hertha BSC - Augsburg, 2 - 2",4
23,2517021,"Freiburg - Köln, 3 - 2",5
24,2517023,"Schalke 04 - Borussia M'gladbach, 1 - 1",2
25,2517026,"Wolfsburg - Hamburger SV, 1 - 3",4
26,2517019,"Hoffenheim - Hannover 96, 3 - 1",4
27,2517011,"Köln - Schalke 04, 2 - 2",4
28,2517014,"Augsburg - Mainz 05, 2 - 0",2
29,2517009,"Borussia Dortmund - Bayer Leverkusen, 4 - 0",4
30,2517010,"RB Leipzig - Hoffenheim, 2 - 5",7
31,2517013,"Eintracht Frankfurt - Hertha BSC, 0 - 3",3
32,2517015,"Hamburger SV - Freiburg, 1 - 0",1
33,2517016,"Hannover 96 - Bayern München, 0 - 3",3
34,2517017,"Stuttgart - Werder Bremen, 2 - 0",2
35,2517012,"Borussia M'gladbach - Wolfsburg, 3 - 0",3
36,2517006,"Mainz 05 - Freiburg, 2 - 0",2
37,2517003,"Werder Bremen - RB Leipzig, 1 - 1",2
38,2517004,"Schalke 04 - Borussia Dortmund, 2 - 0",2
39,2517000,"Bayern München - Borussia M'gladbach, 5 - 1",6
40,2517001,"Hoffenheim - Hamburger SV, 2 - 0",2
41,2517002,"Hertha BSC - Köln, 2 - 1",3
42,2517005,"Bayer Leverkusen - Eintracht Frankfurt, 4 - 1",5
43,2517008,"Stuttgart - Hannover 96, 1 - 1",2
44,2517007,"Wolfsburg - Augsburg, 0 - 0",0
45,2516992,"RB Leipzig - Bayer Leverkusen, 1 - 4",5
46,2516996,"Eintracht Frankfurt - Hoffenheim, 1 - 1",2
47,2516991,"Borussia Dortmund - Stuttgart, 3 - 0",3
48,2516998,"Hamburger SV - Schalke 04, 3 - 2",5
49,2516993,"Köln - Mainz 05, 1 - 1",2
50,2516994,"Freiburg - Wolfsburg, 0 - 2",2
51,2516995,"Borussia M'gladbach - Hertha BSC, 2 - 1",3
52,2516997,"Augsburg - Bayern München, 1 - 4",5
53,2516999,"Hannover 96 - Werder Bremen, 2 - 1",3
54,2516988,"Mainz 05 - Borussia M'gladbach, 0 - 0",0
55,2516985,"Werder Bremen - Eintracht Frankfurt, 2 - 1",3
56,2516984,"Hertha BSC - Wolfsburg, 0 - 0",0
57,2516982,"Bayern München - Borussia Dortmund, 6 - 0",6
58,2516983,"Hoffenheim - Köln, 6 - 0",6
59,2516986,"Schalke 04 - Freiburg, 2 - 0",2
60,2516987,"Bayer Leverkusen - Augsburg, 0 - 0",0
61,2516989,"Hannover 96 - RB Leipzig, 2 - 3",5
62,2516990,"Stuttgart - Hamburger SV, 1 - 1",2
63,2516974,"RB Leipzig - Bayern München, 2 - 1",3
64,2516975,"Köln - Bayer Leverkusen, 2 - 0",2
65,2516973,"Borussia Dortmund - Hannover 96, 1 - 0",1
66,2516981,"Wolfsburg - Schalke 04, 0 - 1",1
67,2516977,"Borussia M'gladbach - Hoffenheim, 3 - 3",6
68,2516978,"Eintracht Frankfurt - Mainz 05, 3 - 0",3
69,2516979,"Augsburg - Werder Bremen, 1 - 3",4
70,2516980,"Hamburger SV - Hertha BSC, 1 - 2",3
71,2516976,"Freiburg - Stuttgart, 1 - 2",3
72,2516968,"Werder Bremen - Köln, 3 - 1",4
73,2516965,"Borussia Dortmund - Eintracht Frankfurt, 3 - 2",5
74,2516972,"Stuttgart - RB Leipzig, 0 - 0",0
75,2516969,"Bayer Leverkusen - Borussia M'gladbach, 2 - 0",2
76,2516964,"Bayern München - Hamburger SV, 6 - 0",6
77,2516966,"Hoffenheim - Wolfsburg, 3 - 0",3
78,2516967,"Hertha BSC - Freiburg, 0 - 0",0
79,2516971,"Hannover 96 - Augsburg, 1 - 3",4
80,2516970,"Mainz 05 - Schalke 04, 0 - 1",1
81,2516957,"Freiburg - Bayern München, 0 - 4",4
82,2516956,"Köln - Stuttgart, 2 - 3",5
83,2516955,"RB Leipzig - Borussia Dortmund, 1 - 1",2
84,2516959,"Schalke 04 - Hertha BSC, 1 - 0",1
85,2516960,"Eintracht Frankfurt - Hannover 96, 1 - 0",1
86,2516961,"Augsburg - Hoffenheim, 0 - 2",2
87,2516962,"Hamburger SV - Mainz 05, 0 - 0",0
88,2516963,"Wolfsburg - Bayer Leverkusen, 1 - 2",3
89,2516958,"Borussia M'gladbach - Werder Bremen, 2 - 2",4
90,2516947,"Borussia Dortmund - Augsburg, 1 - 1",2
91,2516948,"RB Leipzig - Köln, 1 - 2",3
92,2516951,"Bayer Leverkusen - Schalke 04, 0 - 2",2
93,2516950,"Werder Bremen - Hamburger SV, 1 - 0",1
94,2516946,"Bayern München - Hertha BSC, 0 - 0",0
95,2516949,"Hoffenheim - Freiburg, 1 - 1",2
96,2516953,"Hannover 96 - Borussia M'gladbach, 0 - 1",1
97,2516954,"Stuttgart - Eintracht Frankfurt, 1 - 0",1
98,2516952,"Mainz 05 - Wolfsburg, 1 - 1",2
99,2516942,"Eintracht Frankfurt - RB Leipzig, 2 - 1",3
100,2516940,"Borussia M'gladbach - Borussia Dortmund, 0 - 1",1
