"","Team","estimate","SE","quasiSE","quasiVar","Std. Error","z value","Pr(>|z|)"
"1","GAMMA.Augsburg",1.06013808936584,0.436009171092738,0.304214652252928,0.0925465546453699,0.436009171092738,2.43145823448827,0.0150381819807076
"2","GAMMA.Bayer.Leverkusen",2.05552560341502,0.447269761663745,0.311857160122918,0.097254888319931,0.447269761663745,4.59571779627784,4.31262056431111e-06
"3","GAMMA.Bayern.München",3.0812307426038,0.469496348737579,0.335612243043693,0.112635577680819,0.469496348737579,6.56284282271602,5.27914863554034e-11
"4","GAMMA.Borussia.Dortmund",2.21722950390525,0.44996347707698,0.314409289903997,0.0988532015779355,0.44996347707698,4.9275766075697,8.32557844132819e-07
"5","GAMMA.Borussia.M.gladbach",1.09516568768908,0.436251766514838,0.304247583571254,0.0925665921089473,0.436251766514838,2.51039828775531,0.0120595057696398
"6","GAMMA.Eintracht.Frankfurt",0.989493936084419,0.435549503121284,0.304202836036461,0.0925393654526259,0.435549503121284,2.27182887133011,0.0230968483343602
"7","GAMMA.Freiburg",0.727129959006237,0.434263887415247,0.304815385507907,0.092912419242334,0.434263887415247,1.67439655950703,0.0940526885332723
"8","GAMMA.Hamburger.SV",0.306062651393998,0.433616643612078,0.307975125087755,0.0948486776728181,0.433616643612078,0.705836955068099,0.480289537545446
"9","GAMMA.Hannover.96",0.506647883374877,0.433703125835885,0.30613816406586,0.0937205754976157,0.433703125835885,1.16819052756054,0.242729920517756
"10","GAMMA.Hertha.BSC",0.632358910631923,0.433963370738657,0.305294376352757,0.0932046562326189,0.433963370738657,1.45717116528884,0.14506913794443
"11","GAMMA.Hoffenheim",1.2493235403245,0.437463563947417,0.304606315847391,0.0927850076541205,0.437463563947417,2.85583450436725,0.00429238808695599
"12","GAMMA.Köln",-0.0596163671006505,0.434521990896931,0.312825011838934,0.0978594880320295,0.434521990896931,-0.137199884815016,0.890872801954126
"13","GAMMA.Mainz.05",0.353305727082888,0.433600289504559,0.307490111944201,0.0945501689434573,0.433600289504559,0.814818937244212,0.415175959437579
"14","GAMMA.RB.Leipzig",1.12992891872606,0.436505952243807,0.304298323493847,0.0925974696811658,0.436505952243807,2.58857619905936,0.00963736220526862
"15","GAMMA.Schalke.04",1.39958078896507,0.438851602853706,0.305282073097385,0.0931971441546374,0.438851602853706,3.18918919257457,0.00142672469167171
"16","GAMMA.Stuttgart",0.777385467219414,0.434458472256579,0.304617564584491,0.0927918606533863,0.434458472256579,1.78932053777585,0.0735632083364378
"17","GAMMA.Werder.Bremen",0.633321591253214,0.433966395164245,0.305287932110109,0.0932007214920663,0.433966395164245,1.4593793397609,0.144460729194233
"18","GAMMA.Wolfsburg",0,0,0.311901124675314,0.0972823115737257,NA,NA,0
