"","Team","estimate","SE","quasiSE","quasiVar","Std. Error","z value","Pr(>|z|)"
"1","GAMMA.Augsburg",0.560399339329155,0.636970448423093,0.447958623444213,0.200666928318034,0.636970448423093,0.8797886004233,0.378973841263464
"2","GAMMA.Bayer.Leverkusen",1.67286973948063,0.640498053824743,0.447068714859786,0.199870435806381,0.640498053824743,2.61182642084713,0.00900599671084439
"3","GAMMA.Bayern.München",2.86754790164035,0.654066206326641,0.461382109065383,0.212873450565621,0.654066206326641,4.38418599509221,1.16420275018748e-05
"4","GAMMA.Borussia.Dortmund",1.81164316349651,0.641626566045927,0.448001048658634,0.200704939599236,0.641626566045927,2.82351644923448,0.0047499988442268
"5","GAMMA.Borussia.M.gladbach",0.708499037682774,0.636879951698618,0.446999971054999,0.19980897412317,0.636879951698618,1.11245303890182,0.265943410845772
"6","GAMMA.Eintracht.Frankfurt",1.10743532933813,0.637418638491171,0.445606412018155,0.198565074431693,0.637418638491171,1.7373751918512,0.0823209672074351
"7","GAMMA.Freiburg",-0.297618181203671,0.642369188236376,0.460125002202893,0.211715017652212,0.642369188236376,-0.463313288765891,0.643139821921186
"8","GAMMA.Hamburger.SV",0.34742464704056,0.63761486722804,0.450008284621134,0.202507456227656,0.63761486722804,0.544881659599548,0.585834910964847
"9","GAMMA.Hannover.96",0.604256923156563,0.636940842625202,0.447669526810189,0.200408005234459,0.636940842625202,0.948686098800118,0.342780286258199
"10","GAMMA.Hertha.BSC",1.32398869715055,0.638323796147484,0.445744638174291,0.198688282461129,0.638323796147484,2.07416471881716,0.0380640156497924
"11","GAMMA.Hoffenheim",1.14212865998555,0.637579090355451,0.445647159981031,0.198601391199159,0.637579090355451,1.7913521275436,0.0732368059818229
"12","GAMMA.Köln",-0.491308357853211,0.645243543246677,0.465022864430945,0.216246264443561,0.645243543246677,-0.761430878302308,0.446399749972645
"13","GAMMA.Mainz.05",0.283944761875147,0.637849926833441,0.450699368269109,0.203129920558173,0.637849926833441,0.44515919800253,0.656204710725202
"14","GAMMA.RB.Leipzig",1.44913193744861,0.639013017096246,0.446075672835633,0.198983505895763,0.639013017096246,2.26776591192719,0.0233434781049566
"15","GAMMA.Schalke.04",1.20415827019296,0.637802615463749,0.445634646108485,0.198590237812235,0.637802615463749,1.88797951121197,0.0590287010880997
"16","GAMMA.Stuttgart",0.655967204757164,0.636909203609959,0.447327502813131,0.200101894773032,0.636909203609959,1.02992263424549,0.303046324638582
"17","GAMMA.Werder.Bremen",0.706501053828566,0.636873417852486,0.44700678919294,0.199815069584582,0.636873417852486,1.10932727607138,0.267289022445638
"18","GAMMA.Wolfsburg",0,0,0.454696775023503,0.206749157216774,NA,NA,0
