"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",0.601923143811538,0.44207416084034,1.36158861370079,0.173327750637605
"ALPHA",0.527702110527595,0.106729012271188,4.94431738192008,7.64111306887578e-07
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Mönchengladbach",-0.163897884502445,0.430364336099437,-0.38083519184679,0.703325544206177
"GAMMA.Bayer.04.Leverkusen",-0.379754875972774,0.429242043221495,-0.884710344594122,0.376312874952218
"(Intercept):2",-0.670574076877773,0.0677023736581042,-9.90473510226038,3.97020768631468e-23
"GAMMA.Dortmund",-0.939166070053927,0.429908103609184,-2.18457401051387,0.028920095241859
"GAMMA.Augsburg",-1.03712672347749,0.430511031092092,-2.40905957937147,0.0159936867890539
"GAMMA.Schalke.04",-1.08700366092193,0.430873118886319,-2.52279293665736,0.0116426934005422
"GAMMA.Mainz.05",-1.19866572759435,0.431810005792472,-2.77591003338267,0.00550474384938732
"GAMMA.Köln",-1.23752355288947,0.432178275031118,-2.86345618090211,0.00419046770705153
"GAMMA.Frankfurt",-1.30381762860044,0.432856772139544,-3.01212251377256,0.00259427871693691
"GAMMA.Bremen",-1.37924254598437,0.433702395928399,-3.18015892679567,0.00147194301351817
"GAMMA.Hoffenheim",-1.39755777748021,0.43391989768155,-3.22077366110062,0.00127845070929848
"GAMMA.SC.Freiburg",-1.43988677562469,0.434438652856674,-3.31436157017024,0.00091852648237165
"GAMMA.Hertha.BSC",-1.53139175107764,0.43565321442872,-3.51516229046028,0.000439485326317997
"GAMMA.Hannover",-1.57609163753836,0.436288174169186,-3.61250139438153,0.000303257475468104
"GAMMA.Stuttgart",-1.61586204669404,0.436875840100974,-3.6986756839668,0.000216727314223162
"GAMMA.Hamburger.SV",-1.69263492828253,0.438077895568947,-3.86377615808314,0.000111647539292681
"(Intercept):1",-1.79408788448433,0.112416836165199,-15.9592454803467,2.45683532314291e-57
"GAMMA.Paderborn",-1.88810593435057,0.441507656968808,-4.2764964651201,1.89857570146292e-05
