"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",3.0812307426038,0.469496348737579,6.56284282271602,5.27914863554034e-11
"GAMMA.Borussia.Dortmund",2.21722950390525,0.44996347707698,4.9275766075697,8.32557844132819e-07
"GAMMA.Bayer.Leverkusen",2.05552560341502,0.447269761663745,4.59571779627784,4.31262056431111e-06
"GAMMA.Schalke.04",1.39958078896507,0.438851602853706,3.18918919257457,0.00142672469167171
"GAMMA.Hoffenheim",1.2493235403245,0.437463563947417,2.85583450436725,0.00429238808695599
"GAMMA.RB.Leipzig",1.12992891872606,0.436505952243807,2.58857619905936,0.00963736220526862
"GAMMA.Borussia.M.gladbach",1.09516568768908,0.436251766514838,2.51039828775531,0.0120595057696398
"GAMMA.Augsburg",1.06013808936584,0.436009171092738,2.43145823448827,0.0150381819807076
"GAMMA.Eintracht.Frankfurt",0.989493936084419,0.435549503121284,2.27182887133011,0.0230968483343602
"GAMMA.Stuttgart",0.777385467219414,0.434458472256579,1.78932053777585,0.0735632083364378
"GAMMA.Freiburg",0.727129959006237,0.434263887415247,1.67439655950703,0.0940526885332723
"ALPHA",0.722777463716819,0.111477575513671,6.48361305299633,8.95517180034004e-11
"GAMMA.Werder.Bremen",0.633321591253214,0.433966395164245,1.4593793397609,0.144460729194233
"GAMMA.Hertha.BSC",0.632358910631923,0.433963370738657,1.45717116528884,0.14506913794443
"GAMMA.Hannover.96",0.506647883374877,0.433703125835885,1.16819052756054,0.242729920517756
"GAMMA.Mainz.05",0.353305727082888,0.433600289504559,0.814818937244212,0.415175959437579
"GAMMA.Hamburger.SV",0.306062651393998,0.433616643612078,0.705836955068099,0.480289537545446
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Köln",-0.0596163671006505,0.434521990896931,-0.137199884815016,0.890872801954126
"(Intercept):2",-0.829896732214993,0.0784679262217447,-10.5762541738361,3.84004896433555e-26
"(Intercept):1",-2.74576884024684,0.160729042258068,-17.083215339753,1.97906079742816e-65
