"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.83697826319618,0.536466164978716,5.28827062804367,1.23478199640215e-07
"GAMMA.Borussia.Dortmund",2.1842175741844,0.500484091168256,4.36420979753,1.27583091831426e-05
"GAMMA.Bayer.Leverkusen",2.01347371149103,0.493680750389753,4.07849345938935,4.53284773532955e-05
"GAMMA.Schalke.04",1.38120920097067,0.476267098098975,2.90007268292053,0.00373076139707442
"GAMMA.Hoffenheim",1.26395334074975,0.474301864634147,2.66487111899656,0.00770178331680735
"GAMMA.RB.Leipzig",1.22914332383112,0.473794497593121,2.59425411243731,0.009479639391171
"GAMMA.Borussia.M.gladbach",1.21985905989031,0.473662033029767,2.57537859238477,0.010013041903851
"GAMMA.Eintracht.Frankfurt",1.05321392595528,0.47174378053477,2.23259737470487,0.0255755073895526
"GAMMA.Stuttgart",0.875236260373813,0.470563430876285,1.85997509144292,0.0628890501253978
"GAMMA.Augsburg",0.81209194669301,0.470363429215241,1.72652016770928,0.0842538742501452
"ALPHA",0.723866671664624,0.118714394098957,6.09754762393202,1.07708036607583e-09
"GAMMA.Hannover.96",0.649307981436908,0.470385741311264,1.38037343484706,0.167471695144491
"GAMMA.Freiburg",0.604438378264814,0.470530244543531,1.28458985426365,0.198935645929938
"GAMMA.Hertha.BSC",0.561909202501024,0.47072279210307,1.19371573233273,0.232589184317371
"GAMMA.Werder.Bremen",0.516090332916804,0.470992934264861,1.09574962886085,0.273188357470217
"GAMMA.Hamburger.SV",0.478647548815907,0.4712615146952,1.0156728989964,0.309785177617692
"GAMMA.Mainz.05",0.464977786703738,0.471369735297066,0.986439628778247,0.323917426658453
"GAMMA.Köln",0.0990835807527302,0.476502831834232,0.207939122567901,0.835276501366165
"GAMMA.Wolfsburg",0,NA,NA,0
"(Intercept)",-0.826645562069674,0.0778922494162808,-10.6126805717449,2.60175777693125e-26
