"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.73972957736958,0.655569690832978,4.17915839563667,2.92589854326055e-05
"GAMMA.Schalke.04",2.12524389571279,0.648221599340182,3.27857618116405,0.00104332199038105
"GAMMA.Borussia.Dortmund",2.02619252019857,0.647084258829565,3.13126535308325,0.00174054814990167
"GAMMA.Bayer.Leverkusen",1.93812088750778,0.646354384720924,2.99854218262107,0.00271274600728862
"ALPHA.Mainz.05",1.70277370888927,0.654815203694802,2.60038816948865,0.00931183637868438
"ALPHA.Bayern.München",1.67859722532776,0.695609775248441,2.41313058708561,0.0158161517372401
"GAMMA.Hoffenheim",1.57115079223185,0.643818926032487,2.44036130145165,0.0146725790551144
"ALPHA.Freiburg",1.53488851229922,0.649082853546425,2.36470352577175,0.0180445095577086
"ALPHA.Borussia.M.gladbach",1.47455359871642,0.64692089370005,2.27934143583266,0.0226467767068952
"GAMMA.Hertha.BSC",1.35362847859862,0.642849076702746,2.10567072063251,0.0352329648554539
"ALPHA.Borussia.Dortmund",1.3129664607185,0.653323174969824,2.00967378936029,0.04446572580992
"GAMMA.Stuttgart",1.28326880287946,0.642665856720328,1.99679007288216,0.0458479924241737
"GAMMA.RB.Leipzig",1.26402123897786,0.642589884068582,1.96707304350118,0.0491747904595575
"ALPHA.Eintracht.Frankfurt",1.18218412645958,0.644418527888323,1.83449741945417,0.0665801905036009
"ALPHA.Hamburger.SV",1.09975682566144,0.647896904200834,1.69742565295626,0.0896162160460188
"ALPHA.Bayer.Leverkusen",1.09112858159622,0.647662000986655,1.68471915896561,0.0920427682837179
"GAMMA.Augsburg",1.03025658753551,0.642293095832155,1.60402874360763,0.108707716948266
"GAMMA.Werder.Bremen",0.904973517821115,0.642482716530436,1.40855698454924,0.158966205809463
"ALPHA.Hannover.96",0.889710240217928,0.644162140486727,1.38118989660843,0.167220580459454
"ALPHA.Augsburg",0.820906387570456,0.64129280342959,1.28008046118763,0.200516839579898
"GAMMA.Eintracht.Frankfurt",0.762452826839522,0.642660524744935,1.18640059173096,0.235464138150877
"GAMMA.Borussia.M.gladbach",0.762375963486346,0.642568288486474,1.18645127241195,0.235444133792
"ALPHA.Köln",0.695425691806785,0.648958339962835,1.07160298124316,0.283898393740837
"ALPHA.Wolfsburg",0.658691453510558,0.647780433156719,1.01684370165469,0.309227788825221
"ALPHA.RB.Leipzig",0.507007488581091,0.639347774933742,0.793007356025653,0.427773537007755
"GAMMA.Hannover.96",0.448541670393221,0.644315925805929,0.696151767212913,0.486333789954698
"GAMMA.Freiburg",0.370241356025608,0.644676819787057,0.574305364582368,0.565761179610362
"ALPHA.Werder.Bremen",0.233978399797128,0.639366205125213,0.3659536552316,0.714399658063666
"ALPHA.Hoffenheim",0.222181248729986,0.638277928542179,0.348094832665522,0.727768964890953
"GAMMA.Hamburger.SV",0.116675406244606,0.647104591872303,0.180303783515154,0.856914085534663
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Köln",-0.0861811498285242,0.649553423274399,-0.132677539276269,0.894448406860699
"GAMMA.Mainz.05",-0.174351408069759,0.650400916358335,-0.2680675929025,0.788647290289133
"ALPHA.Stuttgart",-0.300027388620367,0.63781175527715,-0.47040115855186,0.638068436601972
"ALPHA.Schalke.04",-0.492966171583477,0.638216909723765,-0.77241164261355,0.439870660398889
"ALPHA.Hertha.BSC",-0.677062862725271,0.638531533381354,-1.0603436593646,0.288988283665165
"(Intercept):2",-0.851500942138533,0.0805893862099589,-10.5659191884168,4.2874752813431e-26
"(Intercept):1",-2.84446959795797,0.16808030801324,-16.9232769238732,3.03087690324268e-64
