"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.91728378685133,0.753739796219806,3.87041231136028,0.000108651434353642
"GAMMA.Borussia.Dortmund",2.50372915984204,0.743015841015702,3.36968476529309,0.000752542206852379
"GAMMA.Bayer.Leverkusen",2.03701871037613,0.734882300255078,2.77189790755483,0.00557305124419614
"ALPHA.Freiburg",2.03514679679838,0.738892824516626,2.75431934006092,0.00588143504639276
"GAMMA.Schalke.04",1.96122011463969,0.736654665394552,2.66233312129947,0.00776010377223721
"GAMMA.Hoffenheim",1.85693095365334,0.736380499513925,2.5217003368219,0.0116789151651762
"GAMMA.Stuttgart",1.59927106109779,0.7372877699625,2.16912734247462,0.03007301736999
"GAMMA.RB.Leipzig",1.51811480316036,0.73733675947848,2.05891647696247,0.0395022403682347
"GAMMA.Hertha.BSC",1.51063715445259,0.73795171703161,2.0470677411377,0.0406514338005504
"ALPHA.Bayer.Leverkusen",1.39877883467449,0.771320978014165,1.81348475478493,0.0697570878634221
"ALPHA.Eintracht.Frankfurt",1.38961360388548,0.702211642666621,1.97890994602209,0.0478261462489643
"ALPHA.Bayern.München",1.30402776522139,0.924433243929594,1.41062404860973,0.158355496757704
"GAMMA.Borussia.M.gladbach",1.29476053914284,0.739391526361097,1.75111628005123,0.0799258824853166
"ALPHA.Mainz.05",1.26709657679785,0.710613459982525,1.78310241524134,0.0745696333638127
"ALPHA.Hamburger.SV",1.13520742615667,0.706017121458774,1.60790353612261,0.107856307279311
"ALPHA.Wolfsburg",1.07782972678736,0.741268861929923,1.45403345822619,0.145937030253115
"ALPHA.Borussia.M.gladbach",1.06216506511087,0.69461731859037,1.52913703226748,0.126230476567919
"GAMMA.Augsburg",1.05973187461287,0.745192916661678,1.42209064380303,0.154999938556567
"ALPHA.Köln",0.99900769058944,0.728071534307943,1.37212848396694,0.170023443685599
"GAMMA.Hannover.96",0.950596459487017,0.748419665031357,1.27013827121604,0.204035381205268
"GAMMA.Eintracht.Frankfurt",0.933976334416329,0.74686400401502,1.2505306580521,0.211105763204864
"GAMMA.Werder.Bremen",0.889430191796309,0.750572733426816,1.18500200205185,0.236016655333959
"ALPHA.Augsburg",0.673216878768103,0.682487415721019,0.986416545214798,0.323928749355362
"ALPHA.RB.Leipzig",0.62209480265388,0.682872454651633,0.910997066020537,0.362296919575033
"ALPHA.Hannover.96",0.57598436337041,0.683295474623992,0.842950648381457,0.399256045443058
"ALPHA.Borussia.Dortmund",0.566808716246316,0.739608641485573,0.766363025596655,0.443460326693575
"GAMMA.Hamburger.SV",0.467159618475405,0.767646891747428,0.608560554986407,0.542815756627974
"ALPHA.Werder.Bremen",0.42994067331225,0.684271334149735,0.628318989639522,0.529794994144773
"GAMMA.Mainz.05",0.401652351481307,0.770964742682415,0.520973696000467,0.602385095448476
"GAMMA.Köln",0.141932415845634,0.790304788212677,0.17959199787543,0.857472887309494
"GAMMA.Freiburg",0.11828834920611,0.786696704831128,0.150360804207896,0.880479963363491
"ALPHA.Hoffenheim",0.0886944981582226,0.674156300456633,0.131563701322892,0.895329398039841
"ALPHA.Schalke.04",0.0226956730579761,0.674946725154567,0.0336258732906344,0.973175490029142
"GAMMA.Wolfsburg",0,NA,NA,0
"ALPHA.Stuttgart",-0.232809560237489,0.667541932984907,-0.348756458184557,0.727272154656679
"ALPHA.Hertha.BSC",-0.56931000671166,0.669840208094303,-0.849919129715053,0.395370049224595
"(Intercept)",-0.855072398892004,0.0805293866713368,-10.6181412057911,2.45398872939675e-26
