"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.37622994874482,0.463634497551306,5.12522247868725,2.97186612360782e-07
"GAMMA.Schalke.04",1.0290948203838,0.428739220378745,2.40028150322871,0.0163824678423534
"GAMMA.Hoffenheim",0.88644633888879,0.427267833751075,2.07468540542003,0.0380157008780889
"GAMMA.Borussia.Dortmund",0.760710903556339,0.426230345236253,1.78474130727292,0.0743032874238336
"GAMMA.Bayer.Leverkusen",0.663903385944905,0.425590105714352,1.55995963494157,0.118769420342156
"GAMMA.RB.Leipzig",0.557599723768033,0.425040734436144,1.31187361255561,0.189562782182373
"GAMMA.Eintracht.Frankfurt",0.474624443521175,0.424720692143513,1.11749781044527,0.263781535251874
"ALPHA",0.461027033591859,0.106193920460929,4.34136937021249,1.41597452955732e-05
"GAMMA.Borussia.M.gladbach",0.365782982252895,0.424443318685738,0.861794652311925,0.388800528218716
"GAMMA.Hertha.BSC",0.285168002243131,0.424340547752982,0.672026285852686,0.501566962385016
"GAMMA.Stuttgart",0.262878494445475,0.424327529203084,0.619517887371528,0.535575241857659
"GAMMA.Werder.Bremen",0.187355097388245,0.424332820530298,0.441528649973629,0.658830325051324
"GAMMA.Augsburg",0.177386447088758,0.4243392292338,0.418029809332152,0.675925322632279
"GAMMA.Hannover.96",0.0534453313635032,0.424530422791111,0.125892818262876,0.899816767641613
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Mainz.05",-0.20766240362118,0.42562121414309,-0.487904260221781,0.625617656781068
"GAMMA.Freiburg",-0.238848801289337,0.425815900239187,-0.560920344109208,0.574851840564976
"GAMMA.Hamburger.SV",-0.436901955857413,0.427389701044791,-1.02225663086726,0.306659453860693
"GAMMA.Köln",-0.659366696631111,0.42990208507049,-1.53376017360557,0.125088664137605
"(Intercept):2",-0.676194319747792,0.0673063736549826,-10.0465124330426,9.51762992662811e-24
"(Intercept):1",-1.7195984691045,0.108765049894167,-15.8102117433656,2.64576110035634e-56
