"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.34758771275152,0.530833320316972,4.42245733811458,9.7584622163614e-06
"GAMMA.Schalke.04",1.14475047612196,0.463457919457279,2.47002031481626,0.0135105379438499
"GAMMA.Borussia.Dortmund",0.849525698610277,0.456674716957614,1.86024245938083,0.0628512303516495
"GAMMA.Bayer.Leverkusen",0.827196537391099,0.456286936505675,1.81288674123768,0.0698492916142349
"GAMMA.Hoffenheim",0.818825133135315,0.456146127358089,1.79509390527503,0.0726387396603083
"GAMMA.RB.Leipzig",0.689606188449555,0.454273822933519,1.51804077988988,0.129004118618706
"GAMMA.Eintracht.Frankfurt",0.50728341510046,0.452584806067444,1.12085825308255,0.262348203349936
"GAMMA.Stuttgart",0.486233368078816,0.452461113841212,1.07464123038307,0.2825353849704
"ALPHA",0.443715515421401,0.113609735932175,3.90561171347408,9.39873254617993e-05
"GAMMA.Borussia.M.gladbach",0.426640173918479,0.452189896613306,0.943497802834201,0.345426338615895
"GAMMA.Hertha.BSC",0.381426138926565,0.452062479690027,0.843746508642132,0.398811072336423
"GAMMA.Augsburg",0.248269310488904,0.452081391943887,0.54916949671691,0.582889135623359
"GAMMA.Werder.Bremen",0.235889276518972,0.452113153350612,0.521748316258432,0.601845579201382
"GAMMA.Hannover.96",0.0644998057255277,0.453083553882734,0.142357419890419,0.886797693782042
"GAMMA.Freiburg",0.055770881333497,0.453159956924941,0.123071071221623,0.902050818921678
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Mainz.05",-0.0783831764120534,0.454663796976818,-0.172398103682863,0.863124562902315
"GAMMA.Hamburger.SV",-0.386555015344034,0.460591589800416,-0.839257650170157,0.401324742644118
"(Intercept)",-0.677417408402336,0.0675443139377342,-10.0292292409219,1.13398323592659e-23
"GAMMA.Köln",-0.852014090291102,0.476916312600124,-1.78650649554418,0.0740172864528716
