"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.07530148004519,0.722330717686302,2.87306275260256,0.00406513361008843
"ALPHA.Stuttgart",1.47913910884683,0.697763806532101,2.11982779129541,0.0340205706878301
"ALPHA.Hoffenheim",1.38469028409685,0.706005806231707,1.9613015528691,0.0498438562593996
"ALPHA.Freiburg",1.23462093182063,0.696272919524472,1.77318533753091,0.0761980008580931
"ALPHA.Borussia.M.gladbach",1.02696492166979,0.683080284875034,1.50343223836078,0.132727618460039
"ALPHA.Hamburger.SV",0.905297454059367,0.711918479002312,1.27163078464835,0.203504333526424
"GAMMA.Schalke.04",0.832569201847998,0.657183859903053,1.26687408599904,0.205200316024257
"ALPHA.Hannover.96",0.826399618966805,0.683110382943598,1.20976000306972,0.226370997956256
"GAMMA.Bayer.Leverkusen",0.729145892876791,0.655585918287797,1.11220493384164,0.266050047046401
"ALPHA.Mainz.05",0.574520891921547,0.682843867029945,0.841364943966543,0.400143518136976
"GAMMA.Borussia.Dortmund",0.547409237007367,0.653798926981574,0.837274602964887,0.402438231504365
"ALPHA.Köln",0.527982167816893,0.7523943302443,0.701735973535924,0.482843834300629
"ALPHA.Werder.Bremen",0.506088644400792,0.672419650990863,0.752638093867469,0.451667419765075
"ALPHA.RB.Leipzig",0.382959530896646,0.672325147405727,0.569604650925755,0.568945873267586
"GAMMA.Hertha.BSC",0.350627053479383,0.653355498940823,0.536655854351568,0.591505354970651
"GAMMA.RB.Leipzig",0.277679011387608,0.65358711386457,0.424853864920516,0.670943208144874
"ALPHA.Eintracht.Frankfurt",0.259709066561475,0.667621841184742,0.389006246561082,0.697271525538541
"ALPHA.Schalke.04",0.222178852593541,0.690925350486625,0.321567087438692,0.747780680895715
"GAMMA.Augsburg",0.193336164652454,0.654217071605888,0.295522958729703,0.767594416558686
"ALPHA.Borussia.Dortmund",0.16656698907091,0.673994078790653,0.247134202380206,0.804804364832748
"GAMMA.Eintracht.Frankfurt",0.164767444783452,0.654569668075965,0.251718728837173,0.801258479519101
"ALPHA.Bayern.München",0.155672563132359,0.859098098228727,0.18120464176713,0.856206951313326
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Hoffenheim",-0.0344031690917213,0.655133181783822,-0.0525132447085752,0.958119742145181
"ALPHA.Bayer.Leverkusen",-0.194707285813006,0.670489814217156,-0.290395590931296,0.771513616378546
"GAMMA.Werder.Bremen",-0.235542727310707,0.662031040948204,-0.355788041257624,0.721999305557008
"GAMMA.Borussia.M.gladbach",-0.332175689516939,0.663960341186055,-0.500294473798785,0.616867744690476
"ALPHA.Hertha.BSC",-0.345064990864566,0.662036394624365,-0.521217554905502,0.602215226351932
"ALPHA.Augsburg",-0.369858802996116,0.663256033710573,-0.557641068000464,0.57708950707177
"ALPHA.Wolfsburg",-0.412327473639714,0.668066518187881,-0.617195237920538,0.537105956370216
"GAMMA.Stuttgart",-0.486487250411901,0.668160261565024,-0.728099646741049,0.46655259008341
"GAMMA.Hannover.96",-0.555966885758682,0.673308211341544,-0.825724202369278,0.408960559870091
"GAMMA.Mainz.05",-0.579983729233619,0.674934308949399,-0.859318783388593,0.390164663948776
"(Intercept)",-0.702284027381705,0.0701502508397182,-10.0111406441911,1.36173338220911e-23
"GAMMA.Freiburg",-0.792469688004036,0.684555090738657,-1.15764194690151,0.247010183746903
"GAMMA.Hamburger.SV",-1.0666177532347,0.70514364727701,-1.51262477844558,0.130374996492059
"GAMMA.Köln",-1.3671819496219,0.734968911768214,-1.86019017638811,0.0628586244148214
