"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.78405723343939,0.462856396677609,6.01494816410317,1.79944270971866e-09
"GAMMA.Borussia.Dortmund",1.70202612120654,0.442569993367901,3.84577840050641,0.000120170333151797
"GAMMA.Bayer.Leverkusen",1.66312766750706,0.442076614277167,3.76208017749688,0.000168506007356937
"GAMMA.RB.Leipzig",1.27676197137302,0.437881915397884,2.91576775947207,0.00354814504533143
"GAMMA.Eintracht.Frankfurt",1.18543486620684,0.437069462935716,2.71223447697418,0.00668312998778992
"GAMMA.Hoffenheim",0.882839414190129,0.434863672888244,2.03015213555677,0.042341077428008
"GAMMA.Schalke.04",0.867585110555983,0.434772296836309,1.99549308193992,0.0459891279293757
"ALPHA",0.708300977847888,0.111499870291226,6.35248252753907,2.11867497789083e-10
"GAMMA.Augsburg",0.637011351025581,0.433641292891905,1.46898222440355,0.141837610639813
"GAMMA.Hertha.BSC",0.6168066774358,0.43356470503434,1.42264042776948,0.154840418092664
"GAMMA.Hannover.96",0.582285985985344,0.433442247910767,1.34339923898055,0.179142733188063
"GAMMA.Borussia.M.gladbach",0.418516030107711,0.433011567071986,0.966523903593862,0.333782091743707
"GAMMA.Stuttgart",0.405143194114308,0.432987624243567,0.935692318740281,0.349431626609344
"GAMMA.Mainz.05",0.316246100668035,0.432870782187053,0.730578532166623,0.465036628709728
"GAMMA.Werder.Bremen",0.140880244256305,0.432863795112031,0.325460909059959,0.744832263573356
"GAMMA.Hamburger.SV",0.104715913247326,0.432899513889656,0.241894273122278,0.808862087769799
"GAMMA.Freiburg",0.0984577158031577,0.432906981719023,0.227433882937608,0.820086375748502
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Köln",-0.614449038425743,0.436270589423818,-1.40841269918572,0.159008901026598
"(Intercept):2",-0.902367090745983,0.0815554166890871,-11.0644654564891,1.8657193356836e-28
"(Intercept):1",-2.7886501200571,0.162859348649391,-17.1230582903816,9.98869682379138e-66
