"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.49890811744462,0.515835775974895,4.84438698095698,1.27003185616505e-06
"GAMMA.Borussia.Dortmund",1.77733951340332,0.482655691224828,3.68241698112581,0.000231033115406784
"GAMMA.Bayer.Leverkusen",1.72861421621457,0.481053030548683,3.59339637512091,0.000326395489355223
"GAMMA.Eintracht.Frankfurt",1.39624718984188,0.471982984642575,2.95825746959763,0.00309383592432099
"GAMMA.RB.Leipzig",1.34499430366511,0.470867789424016,2.85641603412788,0.00428453312741374
"GAMMA.Schalke.04",0.990828926435998,0.465105410170364,2.13033197371982,0.0331442156168484
"GAMMA.Hoffenheim",0.858901135564793,0.463834417560044,1.85174084338751,0.064063045995418
"GAMMA.Hertha.BSC",0.759662561457552,0.463193553819337,1.64005426067274,0.100993885452234
"ALPHA",0.72281180943018,0.117957804721031,6.12771500062774,8.91500881612462e-10
"GAMMA.Hannover.96",0.641286895537475,0.462786240179842,1.38570864874519,0.165835886205947
"GAMMA.Borussia.M.gladbach",0.560920509972563,0.462734570631667,1.21218630630269,0.225441072111859
"GAMMA.Augsburg",0.50725537458571,0.462802633937375,1.09605118335249,0.273056376132318
"GAMMA.Stuttgart",0.474715311625026,0.462883281807364,1.02556158384347,0.305098283167077
"GAMMA.Mainz.05",0.456708500337561,0.462942539735197,0.986533880854409,0.323871197837074
"GAMMA.Hamburger.SV",0.361132789462384,0.463410345752803,0.779293757189924,0.435806691279086
"GAMMA.Freiburg",0.287445821084731,0.46395619605144,0.619553793075891,0.53555159589242
"GAMMA.Werder.Bremen",0.166051353841393,0.465210614362493,0.356938016276656,0.721138208870554
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Köln",-0.303498638294503,0.474472092575799,-0.639655404487288,0.52239665408213
"(Intercept)",-0.900962010690844,0.0810097576293497,-11.1216480218727,9.8436648012128e-29
