"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.86754790164035,0.654066206326641,4.38418599509221,1.16420275018748e-05
"ALPHA.Freiburg",1.83396603762024,0.652877057364063,2.80905266456249,0.00496875177174979
"GAMMA.Borussia.Dortmund",1.81164316349651,0.641626566045927,2.82351644923448,0.0047499988442268
"GAMMA.Bayer.Leverkusen",1.67286973948063,0.640498053824743,2.61182642084713,0.00900599671084439
"GAMMA.RB.Leipzig",1.44913193744861,0.639013017096246,2.26776591192719,0.0233434781049566
"GAMMA.Hertha.BSC",1.32398869715055,0.638323796147484,2.07416471881716,0.0380640156497924
"GAMMA.Schalke.04",1.20415827019296,0.637802615463749,1.88797951121197,0.0590287010880997
"ALPHA.Augsburg",1.17871721111084,0.643849937605095,1.83073281872989,0.0671404320580623
"ALPHA.Eintracht.Frankfurt",1.15556508074702,0.643634006983275,1.79537604944645,0.072593805759939
"GAMMA.Hoffenheim",1.14212865998555,0.637579090355451,1.7913521275436,0.0732368059818229
"GAMMA.Eintracht.Frankfurt",1.10743532933813,0.637418638491171,1.7373751918512,0.0823209672074351
"ALPHA.Mainz.05",1.05679375722948,0.643942011459236,1.64113186967672,0.100770044468191
"ALPHA.Bayer.Leverkusen",1.01473961320871,0.644992733678427,1.57325743411341,0.11565922119784
"ALPHA.Wolfsburg",0.998258567615808,0.64516736596802,1.54728620862279,0.121794245837662
"ALPHA.Hannover.96",0.961954732969915,0.642417252072587,1.49739866086477,0.134289556529352
"ALPHA.Bayern.München",0.960352593955853,0.670061440460886,1.43323065015545,0.151791933202447
"ALPHA.Borussia.Dortmund",0.811840255864529,0.64375177205805,1.26110760560566,0.207270080781316
"GAMMA.Borussia.M.gladbach",0.708499037682774,0.636879951698618,1.11245303890182,0.265943410845772
"GAMMA.Werder.Bremen",0.706501053828566,0.636873417852486,1.10932727607138,0.267289022445638
"ALPHA.Köln",0.705351028939229,0.64964151588717,1.08575423782142,0.277587737540333
"ALPHA.RB.Leipzig",0.669634686034812,0.640723071099043,1.04512341796305,0.295965932057988
"GAMMA.Stuttgart",0.655967204757164,0.636909203609959,1.02992263424549,0.303046324638582
"GAMMA.Hannover.96",0.604256923156563,0.636940842625202,0.948686098800118,0.342780286258199
"GAMMA.Augsburg",0.560399339329155,0.636970448423093,0.8797886004233,0.378973841263464
"ALPHA.Hoffenheim",0.55176516805515,0.639778316071942,0.86243180519595,0.388449944803799
"ALPHA.Hamburger.SV",0.452463054160299,0.641299307954398,0.705541154571889,0.480473530111014
"ALPHA.Stuttgart",0.414140853700606,0.640031138324805,0.647063601912501,0.517590780997783
"ALPHA.Schalke.04",0.381763237826715,0.639125246372183,0.597321479621855,0.550292766336713
"ALPHA.Borussia.M.gladbach",0.366175875415593,0.639771130238091,0.572354484453402,0.567081844823049
"GAMMA.Hamburger.SV",0.34742464704056,0.63761486722804,0.544881659599548,0.585834910964847
"GAMMA.Mainz.05",0.283944761875147,0.637849926833441,0.44515919800253,0.656204710725202
"GAMMA.Wolfsburg",0,NA,NA,0
"ALPHA.Werder.Bremen",-0.0957462571294978,0.639402537598382,-0.149743317393021,0.880967131122052
"GAMMA.Freiburg",-0.297618181203671,0.642369188236376,-0.463313288765891,0.643139821921186
"ALPHA.Hertha.BSC",-0.332215029120887,0.638321751892761,-0.52045074155126,0.602749451807389
"GAMMA.Köln",-0.491308357853211,0.645243543246677,-0.761430878302308,0.446399749972645
"(Intercept):2",-0.916875884958144,0.0830034377174642,-11.0462398928476,2.28589893480529e-28
"(Intercept):1",-2.84891906281932,0.167100196628766,-17.0491664300584,3.54553554316354e-65
