"","Estimate","Std. Error","z value","Pr(>|z|)"
"GAMMA.Bayern.München",2.82024310997495,0.73611862510513,3.83123455077933,0.000127501884893878
"GAMMA.Borussia.Dortmund",2.16288882876792,0.720063517242498,3.00374727642189,0.00266676741769629
"GAMMA.Bayer.Leverkusen",2.05988168249783,0.718684629041471,2.86618302278866,0.00415453979078628
"ALPHA.Freiburg",1.89645994291056,0.73142382971658,2.59283313704097,0.00951889418906294
"GAMMA.RB.Leipzig",1.8007778902891,0.717418508911414,2.51008005497592,0.0120703794089326
"GAMMA.Hertha.BSC",1.68886281344758,0.717612087282202,2.35344811406923,0.0186002035198274
"ALPHA.Eintracht.Frankfurt",1.49468834091012,0.721962456805783,2.07031311229554,0.0384230324700801
"GAMMA.Schalke.04",1.4483296325027,0.718287021565798,2.01636614475573,0.0437617029566885
"GAMMA.Eintracht.Frankfurt",1.37943317946593,0.716906822522748,1.92414569945337,0.0543363232202473
"ALPHA.Wolfsburg",1.28978663833406,0.723720087808558,1.78216227525142,0.074722772742423
"ALPHA.Hannover.96",1.17338667071108,0.690544118365299,1.69922042560987,0.0892776592163872
"GAMMA.Hoffenheim",1.15420869416163,0.721562000247648,1.59959739255323,0.109687927278109
"GAMMA.Borussia.M.gladbach",1.1434616872086,0.722400885619519,1.5828630750196,0.113452676485427
"ALPHA.Augsburg",1.07998889585242,0.690287277467348,1.5645499071269,0.117688482270186
"ALPHA.Mainz.05",0.965949683292502,0.688445113995073,1.4030888790641,0.160590336992079
"GAMMA.Werder.Bremen",0.93521152705352,0.726937777819059,1.2865083581972,0.198265703719765
"ALPHA.Bayern.München",0.85352186457019,0.828466001903732,1.030243682431,0.302895628691161
"ALPHA.Hoffenheim",0.799844362106351,0.680216351073198,1.17586759101632,0.239647791435839
"ALPHA.Bayer.Leverkusen",0.761078189344345,0.716619181816433,1.06203993509526,0.288217556046928
"GAMMA.Stuttgart",0.760347713047493,0.731407062102349,1.03956845981492,0.298540436637668
"GAMMA.Hannover.96",0.745186035765743,0.730907512862404,1.0195353347066,0.307948886945976
"GAMMA.Hamburger.SV",0.721506484052488,0.73295481534088,0.984380577016787,0.324928424367134
"ALPHA.Stuttgart",0.71086064915854,0.682311271549499,1.0418421603152,0.297484863820141
"ALPHA.Köln",0.70139304394479,0.728004242364944,0.963446369029792,0.335323566009254
"GAMMA.Mainz.05",0.644324042410657,0.735034181745179,0.876590583693468,0.380709055553367
"GAMMA.Augsburg",0.642169915773414,0.734833831016215,0.873898136787395,0.382173729480391
"ALPHA.Borussia.Dortmund",0.634206453049069,0.715611870161138,0.886243618214803,0.375486263932042
"ALPHA.Hamburger.SV",0.534627687802191,0.682263158248928,0.783609200259833,0.433269455686345
"ALPHA.Schalke.04",0.498708159748939,0.675122177773959,0.738693196827424,0.460093317784606
"ALPHA.RB.Leipzig",0.420675308797716,0.681892448508396,0.61692325485921,0.537285347297985
"ALPHA.Borussia.M.gladbach",0.152333489093484,0.669882402631588,0.227403330039798,0.820110131117591
"GAMMA.Wolfsburg",0,NA,NA,0
"GAMMA.Köln",-0.00898917061166804,0.773382748913354,-0.0116231847998916,0.990726249112801
"GAMMA.Freiburg",-0.0325282204460061,0.770191835246473,-0.0422339201188709,0.966312222329903
"ALPHA.Werder.Bremen",-0.108753484358514,0.676142507447033,-0.160844027938938,0.872216247384821
"ALPHA.Hertha.BSC",-0.400097568978653,0.662493372048276,-0.603926900795466,0.545892242982042
"(Intercept)",-0.922600674744414,0.0832521726664858,-11.0820011681907,1.53404935691035e-28
