"","ar_sc","ar_xG","ar_extxG","ar_emp"
"1",6.21000000000001,-38.21,15.79,-61.08
"2",-35.7800000000001,32.85,-34.98,2.88
"3",-17.96,-40.73,30.75,-41.51
"4",13.67,19.68,18.31,28.26
"5",14.61,26.75,11.39,17.68
"6",23.11,11.34,-17.33,15.94
"7",-33.14,30.3,8.40999999999999,-32.09
"8",2.7,21.44,-14.65,-1.1
"9",35.5,32.56,-30.46,14.34
"10",-3.25999999999999,17.58,23.63,59.52
"11",44.23,24.42,24.06,-13.57
"12",23.85,26.07,-32.9,31.81
"13",2.91,3.66,17.2,-28.51
"14",-24.02,-32.2,24.27,8.65000000000001
"15",-15.16,-37.14,11.93,-37.37
"16",15.37,-6.75,9.89,1.12
"17",-2.84,-12.48,7.77,-21.41
"18",-11.64,36.4,-15.29,-13.6
"19",-1.68,17.66,3.5,-5.06
"20",-14.33,-35.95,26.28,-1.09
"21",-22.14,24.96,20.53,-28.7
"22",-14.18,13.47,2.51,-18.83
"23",13.17,32.21,-17,13.76
"24",26.75,-25.48,48.79,38.04
"25",2.30000000000001,-15.87,-29.62,6.55
"26",-11.52,-4.05,14.13,60.64
"27",45.34,1.96000000000001,24.36,29.38
"28",6.74000000000001,5.2,-2.59,-7.68
"29",25.36,8.63,25.98,21.86
"30",17.52,6.13,28.35,24.64
"31",3.25,-17.85,23.98,-8.13
"32",17.61,-0.260000000000004,-14.34,23.96
"33",25.3,-12.56,-10.06,42.22
"34",-6.44,13.07,18.97,-3.58
"35",-15.08,-39.09,-29.45,20.72
"36",-8.68999999999999,-35.56,33.63,-11.42
"37",-45.51,18.87,-11.7,16.88
"38",24.13,-14.1,9.57,36.2
"39",12.88,1.04000000000001,-17.41,-0.639999999999994
"40",35.81,34.41,6.55,-8.86
"41",-11.42,24.46,3.78,-6.88
"42",4.06,5.37,10.91,-15.47
"43",-14.91,1.42,-10.52,12.75
"44",14.97,13.36,-18.74,-21.27
"45",-32.76,10.34,-15.4,10.27
"46",-53,1.54,3.44,26.93
"47",-13.23,-14.94,-21.27,56.06
"48",-5.23,19.91,12.27,20.24
"49",33.34,19.54,-25.29,-9.58
"50",-8.03,-2.56,-16.64,8.34
"51",67.12,77.44,-4.78,7.46999999999999
"52",-1.28000000000001,37.81,-8.02,7.44
"53",19.74,-7.8,2.91,59.66
"54",21.52,60.07,6.15999999999999,-1.23
"55",7.56999999999999,-17.44,21.03,-2.53
"56",13.58,13.1,0.0100000000000007,32.38
"57",8.05000000000001,12.03,10.75,-18.4
"58",-15.1,-21.53,-1.44999999999998,29.39
"59",-31.3,10.59,28.94,15.62
"60",11.29,49.65,15,29.96
"61",-16.06,-4.79,-1.24,23.96
"62",22.75,10.96,12.85,31.3
"63",11.11,-7.41,-1.49999999999999,-21.56
"64",-8.62,19.58,4.39,-59.27
"65",20.34,-12.26,9.77,12.13
"66",24.82,16.32,-22.78,5.83
"67",-23.33,15.75,-10.56,-12.54
"68",6.12,-29.87,-14.51,-43.02
"69",44.49,13.98,-30.94,10.39
"70",15.07,6,-20.48,61.62
"71",-0.950000000000003,-20.19,-28.91,-17.14
"72",-7.35,-5.85,-29.4,35.58
"73",-16.68,11.19,-43.06,20.67
"74",-18.26,-36.61,14.86,8.98999999999999
"75",-6.46,24.12,-10.41,-21.1
"76",-2.98,2.93,12.55,-45.47
"77",-12.15,22.5,0.330000000000002,-19.93
"78",-14.87,-7.23,14.37,18.3
"79",-11.45,-15.79,44.66,69.05
"80",4.36,-27.53,-7.98000000000001,3.88000000000001
"81",-2.53,22.69,44.63,-34.22
"82",-5.56,4.87,-14.2,34.3
"83",3.21000000000001,23.73,5.94,-14.35
"84",28.59,0.350000000000005,-25.13,47.58
"85",15.59,58.44,2.02,-8.21999999999999
"86",-3.80999999999999,10.41,-2.33,29.6
"87",21.23,20.29,31.54,18.19
