"","ar_sc","ar_xG","ar_extxG","ar_emp"
"244",TRUE,TRUE,FALSE,FALSE
"245",FALSE,FALSE,FALSE,FALSE
"246",FALSE,FALSE,TRUE,TRUE
"247",FALSE,TRUE,TRUE,FALSE
"248",FALSE,FALSE,TRUE,TRUE
"249",FALSE,TRUE,TRUE,TRUE
"250",TRUE,FALSE,TRUE,FALSE
"251",FALSE,TRUE,FALSE,FALSE
"252",FALSE,TRUE,FALSE,FALSE
"235",TRUE,FALSE,FALSE,FALSE
"236",FALSE,FALSE,FALSE,FALSE
"237",FALSE,FALSE,FALSE,FALSE
"238",TRUE,TRUE,TRUE,TRUE
"239",FALSE,TRUE,TRUE,FALSE
"240",FALSE,FALSE,FALSE,FALSE
"241",TRUE,TRUE,TRUE,TRUE
"242",FALSE,FALSE,FALSE,FALSE
"243",TRUE,TRUE,TRUE,TRUE
"226",FALSE,TRUE,TRUE,FALSE
"227",FALSE,TRUE,TRUE,FALSE
"228",FALSE,TRUE,FALSE,FALSE
"229",TRUE,TRUE,TRUE,FALSE
"230",TRUE,TRUE,TRUE,TRUE
"231",FALSE,FALSE,FALSE,FALSE
"232",FALSE,FALSE,FALSE,FALSE
"233",FALSE,FALSE,FALSE,FALSE
"234",TRUE,TRUE,TRUE,TRUE
"217",FALSE,TRUE,TRUE,TRUE
"218",TRUE,FALSE,FALSE,FALSE
"219",TRUE,TRUE,TRUE,TRUE
"220",FALSE,FALSE,FALSE,FALSE
"221",TRUE,TRUE,FALSE,TRUE
"222",FALSE,FALSE,FALSE,FALSE
"223",TRUE,TRUE,TRUE,TRUE
"224",FALSE,FALSE,FALSE,TRUE
"225",FALSE,TRUE,TRUE,FALSE
"208",FALSE,TRUE,TRUE,FALSE
"209",TRUE,FALSE,FALSE,FALSE
"210",FALSE,FALSE,FALSE,FALSE
"211",TRUE,TRUE,TRUE,TRUE
"212",TRUE,TRUE,TRUE,FALSE
"213",FALSE,FALSE,FALSE,FALSE
"214",FALSE,TRUE,TRUE,FALSE
"215",FALSE,FALSE,FALSE,TRUE
"216",TRUE,TRUE,TRUE,TRUE
"199",FALSE,FALSE,FALSE,TRUE
"200",TRUE,TRUE,TRUE,TRUE
"201",FALSE,FALSE,TRUE,FALSE
"202",TRUE,TRUE,TRUE,TRUE
"203",FALSE,TRUE,TRUE,FALSE
"204",TRUE,TRUE,TRUE,FALSE
"205",TRUE,TRUE,FALSE,TRUE
"206",TRUE,TRUE,FALSE,TRUE
"207",FALSE,FALSE,FALSE,TRUE
"190",TRUE,FALSE,FALSE,FALSE
"191",FALSE,TRUE,FALSE,TRUE
"192",FALSE,FALSE,FALSE,TRUE
"193",TRUE,FALSE,FALSE,FALSE
"194",TRUE,TRUE,TRUE,TRUE
"195",FALSE,FALSE,FALSE,TRUE
"196",TRUE,TRUE,TRUE,TRUE
"197",FALSE,FALSE,FALSE,FALSE
"198",FALSE,FALSE,TRUE,FALSE
"181",FALSE,FALSE,FALSE,TRUE
"182",FALSE,FALSE,FALSE,FALSE
"183",FALSE,FALSE,FALSE,FALSE
"184",TRUE,TRUE,TRUE,TRUE
"185",FALSE,FALSE,FALSE,TRUE
"186",FALSE,FALSE,FALSE,TRUE
"187",FALSE,TRUE,TRUE,FALSE
"188",FALSE,FALSE,FALSE,FALSE
"189",FALSE,TRUE,TRUE,FALSE
"172",FALSE,FALSE,FALSE,FALSE
"173",FALSE,TRUE,TRUE,TRUE
"174",TRUE,FALSE,FALSE,FALSE
"175",FALSE,TRUE,FALSE,FALSE
"176",FALSE,FALSE,FALSE,FALSE
"177",FALSE,FALSE,FALSE,FALSE
"178",TRUE,FALSE,TRUE,FALSE
"179",FALSE,FALSE,FALSE,FALSE
"180",TRUE,FALSE,FALSE,FALSE
"163",TRUE,TRUE,TRUE,TRUE
"164",FALSE,FALSE,FALSE,TRUE
"165",TRUE,TRUE,TRUE,TRUE
"166",TRUE,TRUE,TRUE,TRUE
"167",TRUE,FALSE,FALSE,TRUE
"168",TRUE,FALSE,FALSE,FALSE
"169",TRUE,TRUE,TRUE,FALSE
"170",FALSE,FALSE,FALSE,TRUE
"171",TRUE,TRUE,FALSE,FALSE
"154",FALSE,FALSE,FALSE,FALSE
"155",FALSE,TRUE,TRUE,FALSE
"156",TRUE,TRUE,TRUE,TRUE
"157",TRUE,TRUE,TRUE,FALSE
"158",FALSE,FALSE,TRUE,TRUE
"159",FALSE,FALSE,FALSE,FALSE
"160",FALSE,FALSE,FALSE,FALSE
"161",TRUE,TRUE,TRUE,FALSE
"162",TRUE,TRUE,TRUE,TRUE
"145",FALSE,FALSE,FALSE,FALSE
"146",FALSE,FALSE,FALSE,TRUE
"147",FALSE,TRUE,TRUE,TRUE
"148",FALSE,FALSE,FALSE,FALSE
"149",FALSE,TRUE,TRUE,FALSE
"150",TRUE,TRUE,TRUE,TRUE
"151",TRUE,TRUE,TRUE,TRUE
"152",FALSE,TRUE,TRUE,TRUE
"153",TRUE,FALSE,FALSE,FALSE
"136",FALSE,FALSE,FALSE,FALSE
"137",TRUE,TRUE,TRUE,TRUE
"138",FALSE,FALSE,FALSE,FALSE
"139",FALSE,FALSE,FALSE,FALSE
"140",FALSE,FALSE,FALSE,TRUE
"141",TRUE,FALSE,TRUE,TRUE
"142",TRUE,TRUE,FALSE,TRUE
"143",FALSE,FALSE,FALSE,FALSE
"144",TRUE,TRUE,FALSE,FALSE
"127",FALSE,FALSE,FALSE,FALSE
"128",TRUE,TRUE,TRUE,TRUE
"129",FALSE,TRUE,FALSE,FALSE
"130",TRUE,TRUE,TRUE,TRUE
"131",FALSE,FALSE,FALSE,FALSE
"132",FALSE,FALSE,FALSE,FALSE
"133",FALSE,FALSE,TRUE,FALSE
"134",TRUE,FALSE,FALSE,FALSE
"135",TRUE,TRUE,FALSE,TRUE
"118",FALSE,TRUE,TRUE,FALSE
"119",FALSE,TRUE,TRUE,TRUE
"120",FALSE,FALSE,FALSE,FALSE
"121",FALSE,FALSE,TRUE,FALSE
"122",FALSE,FALSE,TRUE,FALSE
"123",FALSE,FALSE,FALSE,FALSE
"124",TRUE,TRUE,TRUE,FALSE
"125",FALSE,FALSE,TRUE,FALSE
"126",TRUE,TRUE,TRUE,FALSE
"109",FALSE,TRUE,TRUE,TRUE
"110",FALSE,FALSE,FALSE,TRUE
"111",TRUE,TRUE,TRUE,TRUE
"112",TRUE,TRUE,TRUE,TRUE
"113",TRUE,TRUE,TRUE,TRUE
"114",TRUE,TRUE,TRUE,TRUE
"115",FALSE,FALSE,FALSE,FALSE
"116",TRUE,TRUE,TRUE,TRUE
"117",TRUE,TRUE,TRUE,TRUE
"100",TRUE,FALSE,FALSE,TRUE
"101",FALSE,FALSE,FALSE,FALSE
"102",FALSE,FALSE,FALSE,FALSE
"103",TRUE,TRUE,TRUE,TRUE
"104",FALSE,TRUE,TRUE,FALSE
"105",TRUE,TRUE,TRUE,TRUE
"106",TRUE,FALSE,FALSE,FALSE
"107",TRUE,TRUE,TRUE,FALSE
"108",FALSE,FALSE,FALSE,FALSE
"91",FALSE,FALSE,FALSE,FALSE
"92",FALSE,FALSE,FALSE,FALSE
"93",FALSE,FALSE,FALSE,FALSE
"94",TRUE,TRUE,TRUE,TRUE
"95",FALSE,FALSE,FALSE,FALSE
"96",FALSE,FALSE,FALSE,FALSE
"97",FALSE,FALSE,FALSE,FALSE
"98",FALSE,FALSE,TRUE,TRUE
"99",FALSE,FALSE,FALSE,FALSE
"82",TRUE,TRUE,TRUE,FALSE
"83",TRUE,FALSE,FALSE,FALSE
"84",TRUE,TRUE,TRUE,FALSE
"85",TRUE,TRUE,TRUE,TRUE
"86",TRUE,TRUE,TRUE,TRUE
"87",FALSE,FALSE,FALSE,FALSE
"88",FALSE,FALSE,FALSE,FALSE
"89",TRUE,TRUE,TRUE,FALSE
"90",FALSE,FALSE,FALSE,FALSE
"73",TRUE,TRUE,TRUE,TRUE
"74",TRUE,TRUE,TRUE,TRUE
"75",TRUE,TRUE,TRUE,FALSE
"76",TRUE,TRUE,TRUE,TRUE
"77",TRUE,TRUE,TRUE,TRUE
"78",TRUE,TRUE,TRUE,TRUE
"79",FALSE,FALSE,TRUE,FALSE
"80",FALSE,FALSE,FALSE,FALSE
"81",TRUE,FALSE,FALSE,FALSE
"64",FALSE,FALSE,FALSE,TRUE
"65",FALSE,FALSE,FALSE,TRUE
"66",TRUE,TRUE,TRUE,TRUE
"67",TRUE,FALSE,TRUE,FALSE
"68",TRUE,FALSE,FALSE,FALSE
"69",TRUE,TRUE,TRUE,TRUE
"70",FALSE,FALSE,FALSE,FALSE
"71",TRUE,FALSE,FALSE,FALSE
"72",FALSE,FALSE,FALSE,FALSE
"55",FALSE,TRUE,TRUE,FALSE
"56",FALSE,FALSE,FALSE,TRUE
"57",FALSE,FALSE,FALSE,FALSE
"58",TRUE,TRUE,TRUE,TRUE
"59",TRUE,TRUE,TRUE,TRUE
"60",TRUE,TRUE,TRUE,TRUE
"61",FALSE,FALSE,FALSE,FALSE
"62",TRUE,FALSE,FALSE,FALSE
"63",FALSE,FALSE,FALSE,FALSE
"46",FALSE,FALSE,FALSE,FALSE
"47",FALSE,FALSE,FALSE,FALSE
"48",TRUE,TRUE,TRUE,TRUE
"49",FALSE,FALSE,FALSE,TRUE
"50",FALSE,TRUE,FALSE,FALSE
"51",FALSE,FALSE,FALSE,FALSE
"52",TRUE,TRUE,TRUE,TRUE
"53",TRUE,TRUE,TRUE,FALSE
"54",FALSE,TRUE,TRUE,TRUE
"37",FALSE,TRUE,FALSE,TRUE
"38",FALSE,FALSE,TRUE,FALSE
"39",TRUE,FALSE,FALSE,TRUE
"40",TRUE,TRUE,TRUE,TRUE
"41",TRUE,TRUE,TRUE,TRUE
"42",TRUE,TRUE,TRUE,TRUE
