odds_home,odds_draw,odds_away,oddsresp
1.14,8.6,40.0,40.0
2.34,4.2,2.94,2.34
4.5,4.1,1.84,1.84
2.12,3.3,4.3,2.12
2.34,3.55,3.35,2.34
1.2,7.6,24.0,1.2
2.3,4.0,3.1,2.3
2.66,3.8,2.74,2.74
1.66,4.2,6.0,1.66
1.33,5.6,13.0,13.0
1.76,4.1,5.1,1.76
14.5,6.2,1.29,1.29
4.1,4.2,1.91,4.2
2.02,3.65,4.2,2.02
2.0,3.9,4.0,2.0
3.25,3.4,2.48,2.48
2.76,3.45,2.84,2.76
3.1,3.8,2.38,3.1
4.2,4.1,1.91,4.1
3.75,3.75,2.12,3.75
1.46,4.9,8.6,8.6
2.02,3.75,4.1,2.02
2.12,3.6,3.9,3.6
2.16,3.65,3.7,2.16
1.95,3.8,4.3,3.8
2.36,3.45,3.4,3.4
1.27,6.4,16.0,1.27
3.75,3.65,2.14,3.65
2.44,3.4,3.3,2.44
2.2,3.8,3.45,2.2
2.34,3.95,3.05,3.05
1.98,3.55,4.5,4.5
2.12,3.5,4.0,2.12
8.0,5.0,1.47,1.47
2.56,3.45,3.05,2.56
1.78,3.95,5.2,1.78
2.24,3.3,3.9,2.24
2.72,3.7,2.72,3.7
3.15,3.5,2.48,3.15
1.36,5.6,10.5,1.36
1.51,4.8,7.4,1.51
1.85,3.95,4.7,1.85
1.74,4.0,5.5,1.74
1.85,3.85,4.8,3.85
2.28,3.35,3.7,3.35
2.28,3.8,3.25,3.25
2.42,3.65,3.1,3.65
1.55,4.6,7.0,1.55
4.7,3.55,1.95,4.7
2.14,3.7,3.7,3.7
2.44,3.2,3.5,3.5
1.83,3.85,5.0,1.83
8.8,4.7,1.47,1.47
3.15,3.75,2.36,3.15
3.1,3.6,2.46,3.6
2.44,3.5,3.2,2.44
2.34,3.3,3.6,3.3
1.36,5.6,10.5,1.36
1.59,4.6,6.2,1.59
1.58,3.95,8.4,1.58
1.48,4.7,8.4,4.7
4.9,3.95,1.82,1.82
1.69,3.9,6.2,3.9
6.2,4.4,1.62,6.2
5.2,4.2,1.73,5.2
1.46,4.9,8.6,1.46
4.1,3.45,2.12,2.12
3.25,3.8,2.3,3.8
1.78,3.75,5.6,1.78
2.48,3.5,3.15,3.15
2.96,3.15,2.84,2.84
2.64,3.2,3.15,3.15
1.86,3.9,4.7,1.86
1.91,3.7,4.7,1.91
3.2,3.45,2.46,3.45
1.69,4.2,5.7,1.69
1.12,8.8,40.0,1.12
1.75,3.95,5.5,1.75
2.32,3.2,3.8,3.2
2.36,3.45,3.4,3.4
3.55,3.4,2.32,2.32
10.0,4.8,1.43,1.43
2.62,3.45,3.0,3.0
2.3,3.75,3.25,3.75
1.67,3.9,6.6,1.67
1.78,3.9,5.3,1.78
3.0,3.45,2.6,2.6
2.26,3.4,3.7,3.4
3.65,3.65,2.18,2.18
2.04,3.65,4.1,3.65
1.41,5.1,10.0,5.1
1.51,4.6,7.8,7.8
2.1,3.65,3.9,3.9
2.12,3.35,4.2,2.12
1.15,7.8,40.0,7.8
1.77,4.0,5.2,4.0
2.88,3.5,2.68,2.68
2.48,3.35,3.25,2.48
2.32,3.4,3.55,3.4
2.76,3.4,2.86,2.76
3.55,3.75,2.18,2.18
2.12,3.5,4.0,4.0
2.16,3.65,3.7,2.16
2.18,3.65,3.65,3.65
2.76,3.45,2.82,2.76
4.4,3.6,2.0,2.0
9.6,4.8,1.44,1.44
2.06,3.5,4.2,4.2
1.98,3.65,4.4,1.98
2.54,3.55,3.05,2.54
1.23,6.8,22.0,1.23
1.37,5.2,12.0,1.37
1.67,4.2,5.9,1.67
2.0,3.6,4.4,2.0
1.54,4.5,7.4,7.4
2.12,3.55,3.95,2.12
1.8,3.8,5.3,1.8
2.24,3.45,3.7,3.45
