,team_home,Punkte,Tore,Gegentore,Tordifferenz
0,Bayern München,78,71.5280054708337,29.906604878331468,41.62140059250224
1,Borussia Dortmund,65,59.41392927553996,41.593569523576924,17.820359751963032
2,Bayer Leverkusen,62,56.04591454963279,35.784765356594846,20.261149193037944
3,RB Leipzig,56,52.902565053199666,43.85002056994266,9.052544483257009
4,Eintracht Frankfurt,54,43.84351705222254,38.267899526016606,5.5756175262059315
5,Hoffenheim,49,55.62817700884538,45.70844639673231,9.919730612113064
6,Schalke 04,48,43.21722397861279,41.41704332841985,1.8001806501929423
7,Augsburg,42,43.884805054184575,46.20942977756802,-2.324624723383444
8,Hertha BSC,42,40.4566926179037,43.08681450897237,-2.6301218910686686
9,Stuttgart,42,40.22834259119174,44.91372104809869,-4.685378456906946
10,Hannover 96,41,47.44542945868266,51.68456554408807,-4.239136085405413
11,Borussia M'gladbach,38,47.795174263698755,54.476841743179605,-6.681667479480851
12,Hamburger SV,37,35.68604898275573,51.640797910720934,-15.954748927965205
13,Freiburg,36,41.63176858849131,50.465798398674785,-8.834029810183473
14,Mainz 05,36,34.95278539166015,46.29425605759437,-11.341470665934217
15,Werder Bremen,33,38.190851060983995,44.695558784570174,-6.504707723586179
16,Wolfsburg,32,37.79817193096913,53.4214338167022,-15.623261885733065
17,Köln,25,41.22055910472249,68.4523942643472,-27.231835159624715
